indicator,type,topic,description,response,respondent_group,year,sample_size,result,format
8f,Other,Subjective wellbeing,Satisfaction with feeling part of your community,Average satisfaction score (from 0-100),Male,2021,593,65.8,Average
8f,Other,Subjective wellbeing,Satisfaction with feeling part of your community,Average satisfaction score (from 0-100),City of Melbourne,2021,1317,64.5,Average
8f,Other,Subjective wellbeing,Satisfaction with feeling part of your community,Average satisfaction score (from 0-100),Docklands 3008,2021,107,62.8,Average
8f,Other,Subjective wellbeing,Satisfaction with feeling part of your community,Average satisfaction score (from 0-100),East Melbourne 3002,2021,67,70.0,Average
8f,Other,Subjective wellbeing,Satisfaction with feeling part of your community,Average satisfaction score (from 0-100),Melbourne 3000,2021,336,65.3,Average
8f,Other,Subjective wellbeing,Satisfaction with feeling part of your community,Average satisfaction score (from 0-100),North Melbourne 3051 / West Melbourne 3003,2021,220,63.5,Average
8g,Other,Subjective wellbeing,Satisfaction with future security,Average satisfaction score (from 0-100),18-24 years,2021,362,60.1,Average
8g,Other,Subjective wellbeing,Satisfaction with future security,Average satisfaction score (from 0-100),Carlton 3053,2021,132,63.0,Average
8g,Other,Subjective wellbeing,Satisfaction with future security,Average satisfaction score (from 0-100),City of Melbourne,2021,1317,62.6,Average
8g,Other,Subjective wellbeing,Satisfaction with future security,Average satisfaction score (from 0-100),East Melbourne 3002,2021,67,65.7,Average
8g,Other,Subjective wellbeing,Satisfaction with future security,Average satisfaction score (from 0-100),Kensington / Flemington 3031,2021,118,65.3,Average
8g,Other,Subjective wellbeing,Satisfaction with future security,Average satisfaction score (from 0-100),North Melbourne 3051 / West Melbourne 3003,2021,220,59.1,Average
8g,Other,Subjective wellbeing,Satisfaction with future security,Average satisfaction score (from 0-100),South Yarra 3141 / Melbourne/St Kilda Road 3004,2021,83,71.8,Average
9,Other,Quality of life,Satisfaction with life as a whole,Average satisfaction score (from 0-100),18-24 years,2021,372,67.3,Average
9,Other,Quality of life,Satisfaction with life as a whole,Average satisfaction score (from 0-100),45-54 years,2021,122,70.3,Average
9,Other,Quality of life,Satisfaction with life as a whole,Average satisfaction score (from 0-100),55-64 years,2021,80,65.5,Average
9,Other,Quality of life,Satisfaction with life as a whole,Average satisfaction score (from 0-100),Kensington / Flemington 3031,2021,119,70.1,Average
9,Other,Quality of life,Satisfaction with life as a whole,Average satisfaction score (from 0-100),South Yarra 3141 / Melbourne/St Kilda Road 3004,2021,88,74.8,Average
1,Council Plan Indicator,Physical activity,Participate in adequate physical activity,"Yes, 30 minutes or more on 4 or more days per week",25-34 years,2021,394,42.1,Per cent
1,Council Plan Indicator,Physical activity,Participate in adequate physical activity,"Yes, 30 minutes or more on 4 or more days per week",45-54 years,2021,121,53.9,Per cent
1,Council Plan Indicator,Physical activity,Participate in adequate physical activity,"Yes, 30 minutes or more on 4 or more days per week",65+ years,2021,116,67.7,Per cent
1,Council Plan Indicator,Physical activity,Participate in adequate physical activity,"Yes, 30 minutes or more on 4 or more days per week",Male,2021,580,53.5,Per cent
1,Council Plan Indicator,Physical activity,Participate in adequate physical activity,"Yes, 30 minutes or more on 4 or more days per week",Carlton 3053,2021,128,46.8,Per cent
1,Council Plan Indicator,Physical activity,Participate in adequate physical activity,"Yes, 30 minutes or more on 4 or more days per week",Docklands 3008,2021,108,42.3,Per cent
1,Council Plan Indicator,Physical activity,Participate in adequate physical activity,"Yes, 30 minutes or more on 4 or more days per week",East Melbourne 3002,2021,70,58.7,Per cent
1,Council Plan Indicator,Physical activity,Participate in adequate physical activity,"Yes, 30 minutes or more on 4 or more days per week",Parkville 3052,2021,82,48.4,Per cent
10,Council Plan Indicator,Tolerance of diversity,It’s a good thing for society to be made up of different cultures,Reported as strongly agree or agree,65+ years,2021,115,87.1,Per cent
10,Council Plan Indicator,Tolerance of diversity,It’s a good thing for society to be made up of different cultures,Reported as strongly agree or agree,Male,2021,619,92.6,Per cent
10,Council Plan Indicator,Tolerance of diversity,It’s a good thing for society to be made up of different cultures,Reported as strongly agree or agree,South Yarra 3141 / Melbourne/St Kilda Road 3004,2021,86,97.2,Per cent
11a,Other,Volunteering,Help out as a volunteer,"Yes, in the last 12 months",18-24 years,2021,367,36.7,Per cent
11a,Other,Volunteering,Help out as a volunteer,"Yes, in the last 12 months",25-34 years,2021,413,25.0,Per cent
11a,Other,Volunteering,Help out as a volunteer,"Yes, in the last 12 months",35-44 years,2021,192,26.9,Per cent
11a,Other,Volunteering,Help out as a volunteer,"Yes, in the last 12 months",Carlton 3053,2021,136,38.6,Per cent
11a,Other,Volunteering,Help out as a volunteer,"Yes, in the last 12 months",City of Melbourne,2021,1363,30.7,Per cent
11a,Other,Volunteering,Help out as a volunteer,"Yes, in the last 12 months",Docklands 3008,2021,109,33.2,Per cent
11a,Other,Volunteering,Help out as a volunteer,"Yes, in the last 12 months",Kensington / Flemington 3031,2021,120,34.8,Per cent
11a,Other,Volunteering,Help out as a volunteer,"Yes, in the last 12 months",Parkville 3052,2021,83,31.6,Per cent
11a,Other,Volunteering,Help out as a volunteer,"Yes, in the last 12 months",South Wharf / Southbank 3006,2021,181,27.1,Per cent
11a,Other,Volunteering,Help out as a volunteer,"Yes, in the last 12 months",South Yarra 3141 / Melbourne/St Kilda Road 3004,2021,87,15.3,Per cent
11b,Other,Volunteering,Help out as a volunteer in the City of Melbourne,"Yes, in the last 12 months",35-44 years,2021,192,17.8,Per cent
11b,Other,Volunteering,Help out as a volunteer in the City of Melbourne,"Yes, in the last 12 months",45-54 years,2021,123,23.7,Per cent
11b,Other,Volunteering,Help out as a volunteer in the City of Melbourne,"Yes, in the last 12 months",65+ years,2021,117,18.0,Per cent
11b,Other,Volunteering,Help out as a volunteer in the City of Melbourne,"Yes, in the last 12 months",City of Melbourne,2021,1363,18.0,Per cent
12a,Other,Arts and cultural activities,Participate in arts and cultural activities in general,"Yes, in the last 3 months",35-44 years,2021,194,10.6,Per cent
12a,Other,Arts and cultural activities,Participate in arts and cultural activities in general,"Yes, in the last 3 months",45-54 years,2021,123,6.7,Per cent
12a,Other,Arts and cultural activities,Participate in arts and cultural activities in general,"Yes, in the last 3 months",55-64 years,2021,80,11.6,Per cent
12a,Other,Arts and cultural activities,Participate in arts and cultural activities in general,"Yes, in the last 3 months",65+ years,2021,117,0.0,Per cent
12a,Other,Arts and cultural activities,Participate in arts and cultural activities in general,"Yes, in the last 3 months",Male,2021,621,13.2,Per cent
12a,Other,Arts and cultural activities,Participate in arts and cultural activities in general,"Yes, in the last 3 months",City of Melbourne,2021,1378,15.8,Per cent
12a,Other,Arts and cultural activities,Participate in arts and cultural activities in general,"Yes, in the last 3 months",Kensington / Flemington 3031,2021,121,7.3,Per cent
12a,Other,Arts and cultural activities,Participate in arts and cultural activities in general,"Yes, in the last 3 months",Melbourne 3000,2021,347,15.5,Per cent
12b,Other,Arts and cultural activities,Participate in arts and cultural activities in the City of Melbourne,"Yes, in the last 3 months",25-34 years,2021,416,14.3,Per cent
12b,Other,Arts and cultural activities,Participate in arts and cultural activities in the City of Melbourne,"Yes, in the last 3 months",City of Melbourne,2021,1378,12.9,Per cent
12b,Other,Arts and cultural activities,Participate in arts and cultural activities in the City of Melbourne,"Yes, in the last 3 months",Docklands 3008,2021,113,7.6,Per cent
12b,Other,Arts and cultural activities,Participate in arts and cultural activities in the City of Melbourne,"Yes, in the last 3 months",East Melbourne 3002,2021,73,8.2,Per cent
12b,Other,Arts and cultural activities,Participate in arts and cultural activities in the City of Melbourne,"Yes, in the last 3 months",North Melbourne 3051 / West Melbourne 3003,2021,231,10.9,Per cent
12b,Other,Arts and cultural activities,Participate in arts and cultural activities in the City of Melbourne,"Yes, in the last 3 months",South Wharf / Southbank 3006,2021,184,16.6,Per cent
13a,Council Plan Indicator,Learning,Participate in learning activities,"Yes, in the last 12 months",55-64 years,2021,80,69.4,Per cent
13a,Council Plan Indicator,Learning,Participate in learning activities,"Yes, in the last 12 months",Female,2021,731,87.0,Per cent
13a,Council Plan Indicator,Learning,Participate in learning activities,"Yes, in the last 12 months",Male,2021,621,78.9,Per cent
13a,Council Plan Indicator,Learning,Participate in learning activities,"Yes, in the last 12 months",Docklands 3008,2021,113,73.4,Per cent
13a,Council Plan Indicator,Learning,Participate in learning activities,"Yes, in the last 12 months",East Melbourne 3002,2021,73,80.9,Per cent
13a,Council Plan Indicator,Learning,Participate in learning activities,"Yes, in the last 12 months",Kensington / Flemington 3031,2021,121,76.9,Per cent
13a,Council Plan Indicator,Learning,Participate in learning activities,"Yes, in the last 12 months",South Yarra 3141 / Melbourne/St Kilda Road 3004,2021,88,84.5,Per cent
13b,Other,Learning,Participate in learning activities in City of Melbourne,"Yes, in the last 12 months",18-24 years,2021,373,75.7,Per cent
13b,Other,Learning,Participate in learning activities in City of Melbourne,"Yes, in the last 12 months",25-34 years,2021,416,63.4,Per cent
13b,Other,Learning,Participate in learning activities in City of Melbourne,"Yes, in the last 12 months",35-44 years,2021,194,57.7,Per cent
13b,Other,Learning,Participate in learning activities in City of Melbourne,"Yes, in the last 12 months",55-64 years,2021,80,47.2,Per cent
13b,Other,Learning,Participate in learning activities in City of Melbourne,"Yes, in the last 12 months",City of Melbourne,2021,1378,62.9,Per cent
13b,Other,Learning,Participate in learning activities in City of Melbourne,"Yes, in the last 12 months",Kensington / Flemington 3031,2021,121,61.1,Per cent
13b,Other,Learning,Participate in learning activities in City of Melbourne,"Yes, in the last 12 months",South Yarra 3141 / Melbourne/St Kilda Road 3004,2021,88,45.9,Per cent
14,Council Plan Indicator,Relationship with Aboriginal people,Relationship between Aboriginal and Torres Strait Islander people and other Australians for Australia as a nation,Reported as very important or important,18-24 years,2021,358,96.1,Per cent
14,Council Plan Indicator,Relationship with Aboriginal people,Relationship between Aboriginal and Torres Strait Islander people and other Australians for Australia as a nation,Reported as very important or important,35-44 years,2021,184,93.8,Per cent
14,Council Plan Indicator,Relationship with Aboriginal people,Relationship between Aboriginal and Torres Strait Islander people and other Australians for Australia as a nation,Reported as very important or important,45-54 years,2021,121,95.9,Per cent
14,Council Plan Indicator,Relationship with Aboriginal people,Relationship between Aboriginal and Torres Strait Islander people and other Australians for Australia as a nation,Reported as very important or important,55-64 years,2021,75,97.8,Per cent
14,Council Plan Indicator,Relationship with Aboriginal people,Relationship between Aboriginal and Torres Strait Islander people and other Australians for Australia as a nation,Reported as very important or important,Female,2021,704,98.3,Per cent
14,Council Plan Indicator,Relationship with Aboriginal people,Relationship between Aboriginal and Torres Strait Islander people and other Australians for Australia as a nation,Reported as very important or important,City of Melbourne,2021,1318,96.5,Per cent
14,Council Plan Indicator,Relationship with Aboriginal people,Relationship between Aboriginal and Torres Strait Islander people and other Australians for Australia as a nation,Reported as very important or important,Docklands 3008,2021,106,95.1,Per cent
14,Council Plan Indicator,Relationship with Aboriginal people,Relationship between Aboriginal and Torres Strait Islander people and other Australians for Australia as a nation,Reported as very important or important,Kensington / Flemington 3031,2021,119,98.2,Per cent
14,Council Plan Indicator,Relationship with Aboriginal people,Relationship between Aboriginal and Torres Strait Islander people and other Australians for Australia as a nation,Reported as very important or important,Melbourne 3000,2021,329,97.1,Per cent
15,Council Plan Indicator,Food production and consumption,Produce own food and consumed in last week,"Yes, in the last 12 months",55-64 years,2021,80,66.6,Per cent
15,Council Plan Indicator,Food production and consumption,Produce own food and consumed in last week,"Yes, in the last 12 months",65+ years,2021,117,68.0,Per cent
15,Council Plan Indicator,Food production and consumption,Produce own food and consumed in last week,"Yes, in the last 12 months",Docklands 3008,2021,113,57.2,Per cent
15,Council Plan Indicator,Food production and consumption,Produce own food and consumed in last week,"Yes, in the last 12 months",South Yarra 3141 / Melbourne/St Kilda Road 3004,2021,88,63.4,Per cent
16,Council Plan Indicator,Knowledge of Aboriginal culture,Aware of traditional owners of Melbourne,Able to name both Wurundjeri and Boonwurrung,18-24 years,2021,373,5.8,Per cent
16,Council Plan Indicator,Knowledge of Aboriginal culture,Aware of traditional owners of Melbourne,Able to name both Wurundjeri and Boonwurrung,25-34 years,2021,416,5.9,Per cent
16,Council Plan Indicator,Knowledge of Aboriginal culture,Aware of traditional owners of Melbourne,Able to name both Wurundjeri and Boonwurrung,35-44 years,2021,194,6.6,Per cent
16,Council Plan Indicator,Knowledge of Aboriginal culture,Aware of traditional owners of Melbourne,Able to name both Wurundjeri and Boonwurrung,55-64 years,2021,80,10.5,Per cent
16,Council Plan Indicator,Knowledge of Aboriginal culture,Aware of traditional owners of Melbourne,Able to name both Wurundjeri and Boonwurrung,Female,2021,731,6.3,Per cent
16,Council Plan Indicator,Knowledge of Aboriginal culture,Aware of traditional owners of Melbourne,Able to name both Wurundjeri and Boonwurrung,Male,2021,621,4.5,Per cent
16,Council Plan Indicator,Knowledge of Aboriginal culture,Aware of traditional owners of Melbourne,Able to name both Wurundjeri and Boonwurrung,East Melbourne 3002,2021,73,3.7,Per cent
16,Council Plan Indicator,Knowledge of Aboriginal culture,Aware of traditional owners of Melbourne,Able to name both Wurundjeri and Boonwurrung,Parkville 3052,2021,84,5.0,Per cent
2a,Other,Physical activity,Participate in sports and exercise activities,"Yes, in the last 3 months",35-44 years,2021,194,60.7,Per cent
2a,Other,Physical activity,Participate in sports and exercise activities,"Yes, in the last 3 months",55-64 years,2021,80,40.1,Per cent
2a,Other,Physical activity,Participate in sports and exercise activities,"Yes, in the last 3 months",65+ years,2021,117,45.9,Per cent
2a,Other,Physical activity,Participate in sports and exercise activities,"Yes, in the last 3 months",Male,2021,621,64.0,Per cent
2a,Other,Physical activity,Participate in sports and exercise activities,"Yes, in the last 3 months",Carlton 3053,2021,137,63.3,Per cent
2a,Other,Physical activity,Participate in sports and exercise activities,"Yes, in the last 3 months",City of Melbourne,2021,1378,61.1,Per cent
2a,Other,Physical activity,Participate in sports and exercise activities,"Yes, in the last 3 months",Docklands 3008,2021,113,66.5,Per cent
2a,Other,Physical activity,Participate in sports and exercise activities,"Yes, in the last 3 months",Kensington / Flemington 3031,2021,121,62.9,Per cent
2a,Other,Physical activity,Participate in sports and exercise activities,"Yes, in the last 3 months",South Wharf / Southbank 3006,2021,184,68.5,Per cent
2a,Other,Physical activity,Participate in sports and exercise activities,"Yes, in the last 3 months",South Yarra 3141 / Melbourne/St Kilda Road 3004,2021,88,67.2,Per cent
2b,Other,Physical activity,Participate in sports and exercise activities in City of Melbourne,"Yes, in the last 3 months",45-54 years,2021,123,42.9,Per cent
2b,Other,Physical activity,Participate in sports and exercise activities in City of Melbourne,"Yes, in the last 3 months",55-64 years,2021,80,36.1,Per cent
2b,Other,Physical activity,Participate in sports and exercise activities in City of Melbourne,"Yes, in the last 3 months",Carlton 3053,2021,137,58.3,Per cent
2b,Other,Physical activity,Participate in sports and exercise activities in City of Melbourne,"Yes, in the last 3 months",Parkville 3052,2021,84,50.3,Per cent
2b,Other,Physical activity,Participate in sports and exercise activities in City of Melbourne,"Yes, in the last 3 months",South Yarra 3141 / Melbourne/St Kilda Road 3004,2021,88,60.2,Per cent
3a,Other,Physical activity,Participate in organised physical activity,"Yes, in the last 3 months",45-54 years,2021,123,9.5,Per cent
3a,Other,Physical activity,Participate in organised physical activity,"Yes, in the last 3 months",Female,2021,731,13.1,Per cent
3a,Other,Physical activity,Participate in organised physical activity,"Yes, in the last 3 months",Docklands 3008,2021,113,19.5,Per cent
3a,Other,Physical activity,Participate in organised physical activity,"Yes, in the last 3 months",Parkville 3052,2021,84,23.0,Per cent
3b,Other,Physical activity,"Participate in physical activity organised by a fitness, leisure or indoor sports centre","Yes, in the last 3 months",18-24 years,2021,373,9.3,Per cent
3b,Other,Physical activity,"Participate in physical activity organised by a fitness, leisure or indoor sports centre","Yes, in the last 3 months",25-34 years,2021,416,7.4,Per cent
3b,Other,Physical activity,"Participate in physical activity organised by a fitness, leisure or indoor sports centre","Yes, in the last 3 months",East Melbourne 3002,2021,73,7.5,Per cent
3b,Other,Physical activity,"Participate in physical activity organised by a fitness, leisure or indoor sports centre","Yes, in the last 3 months",North Melbourne 3051 / West Melbourne 3003,2021,231,8.5,Per cent
3b,Other,Physical activity,"Participate in physical activity organised by a fitness, leisure or indoor sports centre","Yes, in the last 3 months",South Wharf / Southbank 3006,2021,184,8.6,Per cent
3c,Other,Physical activity,Participate in physical activity organised by a sports club or association,"Yes, in the last 3 months",18-24 years,2021,373,8.2,Per cent
3c,Other,Physical activity,Participate in physical activity organised by a sports club or association,"Yes, in the last 3 months",Female,2021,731,4.5,Per cent
3c,Other,Physical activity,Participate in physical activity organised by a sports club or association,"Yes, in the last 3 months",Carlton 3053,2021,137,6.9,Per cent
3c,Other,Physical activity,Participate in physical activity organised by a sports club or association,"Yes, in the last 3 months",Melbourne 3000,2021,347,4.7,Per cent
3c,Other,Physical activity,Participate in physical activity organised by a sports club or association,"Yes, in the last 3 months",South Wharf / Southbank 3006,2021,184,5.0,Per cent
3c,Other,Physical activity,Participate in physical activity organised by a sports club or association,"Yes, in the last 3 months",South Yarra 3141 / Melbourne/St Kilda Road 3004,2021,88,8.6,Per cent
4,Other,Health,Self reported health,Reported as excellent or very good,18-24 years,2021,373,51.2,Per cent
4,Other,Health,Self reported health,Reported as excellent or very good,Female,2021,731,46.9,Per cent
4,Other,Health,Self reported health,Reported as excellent or very good,Male,2021,621,49.9,Per cent
4,Other,Health,Self reported health,Reported as excellent or very good,Melbourne 3000,2021,347,43.0,Per cent
4,Other,Health,Self reported health,Reported as excellent or very good,North Melbourne 3051 / West Melbourne 3003,2021,231,49.9,Per cent
5a,Council Plan Indicator,Decision making,Participate in activities to influence government decision making,"Yes, in the last 12 months",25-34 years,2021,416,43.3,Per cent
5a,Council Plan Indicator,Decision making,Participate in activities to influence government decision making,"Yes, in the last 12 months",65+ years,2021,117,77.9,Per cent
5a,Council Plan Indicator,Decision making,Participate in activities to influence government decision making,"Yes, in the last 12 months",Carlton 3053,2021,137,53.5,Per cent
5a,Council Plan Indicator,Decision making,Participate in activities to influence government decision making,"Yes, in the last 12 months",Kensington / Flemington 3031,2021,121,54.3,Per cent
5a,Council Plan Indicator,Decision making,Participate in activities to influence government decision making,"Yes, in the last 12 months",Melbourne 3000,2021,347,45.8,Per cent
5a,Council Plan Indicator,Decision making,Participate in activities to influence government decision making,"Yes, in the last 12 months",South Wharf / Southbank 3006,2021,184,41.6,Per cent
5b,Other,Decision making,Participate in activities in City of Melbourne to influence government decision making,"Yes, in the last 12 months",25-34 years,2021,416,27.6,Per cent
5b,Other,Decision making,Participate in activities in City of Melbourne to influence government decision making,"Yes, in the last 12 months",55-64 years,2021,80,43.3,Per cent
5b,Other,Decision making,Participate in activities in City of Melbourne to influence government decision making,"Yes, in the last 12 months",65+ years,2021,117,57.5,Per cent
5b,Other,Decision making,Participate in activities in City of Melbourne to influence government decision making,"Yes, in the last 12 months",Male,2021,621,36.3,Per cent
5b,Other,Decision making,Participate in activities in City of Melbourne to influence government decision making,"Yes, in the last 12 months",Melbourne 3000,2021,347,30.7,Per cent
5b,Other,Decision making,Participate in activities in City of Melbourne to influence government decision making,"Yes, in the last 12 months",Parkville 3052,2021,84,42.6,Per cent
6,Council Plan Indicator,Food security,Experienced food insecurity (worried food would run out and/or skipped meals and/or ran out of food),"Yes, in the last 12 months",Male,2021,618,32.2,Per cent
6,Council Plan Indicator,Food security,Experienced food insecurity (worried food would run out and/or skipped meals and/or ran out of food),"Yes, in the last 12 months",Kensington / Flemington 3031,2021,121,23.8,Per cent
6,Council Plan Indicator,Food security,Experienced food insecurity (worried food would run out and/or skipped meals and/or ran out of food),"Yes, in the last 12 months",Parkville 3052,2021,84,31.9,Per cent
6,Council Plan Indicator,Food security,Experienced food insecurity (worried food would run out and/or skipped meals and/or ran out of food),"Yes, in the last 12 months",South Yarra 3141 / Melbourne/St Kilda Road 3004,2021,88,20.7,Per cent
6a,Other,Food security,Worried food would run out,"Yes, in the last 12 months",City of Melbourne,2021,1361,27.3,Per cent
6a,Other,Food security,Worried food would run out,"Yes, in the last 12 months",East Melbourne 3002,2021,73,25.7,Per cent
6a,Other,Food security,Worried food would run out,"Yes, in the last 12 months",Melbourne 3000,2021,342,31.7,Per cent
6a,Other,Food security,Worried food would run out,"Yes, in the last 12 months",North Melbourne 3051 / West Melbourne 3003,2021,228,26.0,Per cent
6a,Other,Food security,Worried food would run out,"Yes, in the last 12 months",South Wharf / Southbank 3006,2021,182,22.7,Per cent
6a,Other,Food security,Worried food would run out,"Yes, in the last 12 months",South Yarra 3141 / Melbourne/St Kilda Road 3004,2021,87,16.2,Per cent
6b,Other,Food security,Skipped meals,"Yes, in the last 12 months",18-24 years,2021,367,32.2,Per cent
6b,Other,Food security,Skipped meals,"Yes, in the last 12 months",Female,2021,723,22.0,Per cent
6b,Other,Food security,Skipped meals,"Yes, in the last 12 months",North Melbourne 3051 / West Melbourne 3003,2021,226,22.3,Per cent
6b,Other,Food security,Skipped meals,"Yes, in the last 12 months",Parkville 3052,2021,84,21.0,Per cent
6c,Other,Food security,Ran out of food,"Yes, in the last 12 months",25-34 years,2021,413,18.7,Per cent
6c,Other,Food security,Ran out of food,"Yes, in the last 12 months",65+ years,2021,117,1.6,Per cent
6c,Other,Food security,Ran out of food,"Yes, in the last 12 months",Female,2021,722,20.0,Per cent
6c,Other,Food security,Ran out of food,"Yes, in the last 12 months",Docklands 3008,2021,112,24.7,Per cent
6c,Other,Food security,Ran out of food,"Yes, in the last 12 months",North Melbourne 3051 / West Melbourne 3003,2021,226,19.0,Per cent
6c,Other,Food security,Ran out of food,"Yes, in the last 12 months",South Wharf / Southbank 3006,2021,183,12.9,Per cent
7a,Council Plan Indicator,Perceptions of safety,Feel safe by yourself in your neighbourhood - during the day,Reported as feeling very safe or safe,18-24 years,2021,373,83.7,Per cent
7a,Council Plan Indicator,Perceptions of safety,Feel safe by yourself in your neighbourhood - during the day,Reported as feeling very safe or safe,25-34 years,2021,416,86.9,Per cent
7a,Council Plan Indicator,Perceptions of safety,Feel safe by yourself in your neighbourhood - during the day,Reported as feeling very safe or safe,45-54 years,2021,123,88.3,Per cent
7a,Council Plan Indicator,Perceptions of safety,Feel safe by yourself in your neighbourhood - during the day,Reported as feeling very safe or safe,55-64 years,2021,80,56.2,Per cent
7a,Council Plan Indicator,Perceptions of safety,Feel safe by yourself in your neighbourhood - during the day,Reported as feeling very safe or safe,East Melbourne 3002,2021,72,91.4,Per cent
7a,Council Plan Indicator,Perceptions of safety,Feel safe by yourself in your neighbourhood - during the day,Reported as feeling very safe or safe,Parkville 3052,2021,84,83.2,Per cent
7b,Council Plan Indicator,Perceptions of safety,Feel safe by yourself in your neighbourhood - at night,Reported as feeling very safe or safe,18-24 years,2021,370,59.4,Per cent
7b,Council Plan Indicator,Perceptions of safety,Feel safe by yourself in your neighbourhood - at night,Reported as feeling very safe or safe,25-34 years,2021,414,62.2,Per cent
7b,Council Plan Indicator,Perceptions of safety,Feel safe by yourself in your neighbourhood - at night,Reported as feeling very safe or safe,65+ years,2021,114,83.1,Per cent
7b,Council Plan Indicator,Perceptions of safety,Feel safe by yourself in your neighbourhood - at night,Reported as feeling very safe or safe,Docklands 3008,2021,112,67.3,Per cent
7b,Council Plan Indicator,Perceptions of safety,Feel safe by yourself in your neighbourhood - at night,Reported as feeling very safe or safe,East Melbourne 3002,2021,72,58.1,Per cent
7b,Council Plan Indicator,Perceptions of safety,Feel safe by yourself in your neighbourhood - at night,Reported as feeling very safe or safe,South Wharf / Southbank 3006,2021,181,65.5,Per cent
7c,Other,Perceptions of safety,Feel safe by yourself on public transport in and around City of Melbourne - during the day,Reported as feeling very safe or safe,25-34 years,2021,403,83.7,Per cent
7c,Other,Perceptions of safety,Feel safe by yourself on public transport in and around City of Melbourne - during the day,Reported as feeling very safe or safe,45-54 years,2021,107,85.5,Per cent
7c,Other,Perceptions of safety,Feel safe by yourself on public transport in and around City of Melbourne - during the day,Reported as feeling very safe or safe,55-64 years,2021,67,77.1,Per cent
7c,Other,Perceptions of safety,Feel safe by yourself on public transport in and around City of Melbourne - during the day,Reported as feeling very safe or safe,65+ years,2021,91,98.0,Per cent
7c,Other,Perceptions of safety,Feel safe by yourself on public transport in and around City of Melbourne - during the day,Reported as feeling very safe or safe,City of Melbourne,2021,1283,83.3,Per cent
7c,Other,Perceptions of safety,Feel safe by yourself on public transport in and around City of Melbourne - during the day,Reported as feeling very safe or safe,North Melbourne 3051 / West Melbourne 3003,2021,213,81.6,Per cent
7c,Other,Perceptions of safety,Feel safe by yourself on public transport in and around City of Melbourne - during the day,Reported as feeling very safe or safe,South Wharf / Southbank 3006,2021,169,83.1,Per cent
7d,Other,Perceptions of safety,Feel safe by yourself on public transport in and around City of Melbourne - at night,Reported as feeling very safe or safe,25-34 years,2021,395,56.0,Per cent
7d,Other,Perceptions of safety,Feel safe by yourself on public transport in and around City of Melbourne - at night,Reported as feeling very safe or safe,City of Melbourne,2021,1205,51.6,Per cent
7d,Other,Perceptions of safety,Feel safe by yourself on public transport in and around City of Melbourne - at night,Reported as feeling very safe or safe,Kensington / Flemington 3031,2021,98,46.3,Per cent
7d,Other,Perceptions of safety,Feel safe by yourself on public transport in and around City of Melbourne - at night,Reported as feeling very safe or safe,Parkville 3052,2021,69,41.2,Per cent
8,Council Plan Indicator,Quality of life,Personal Wellbeing Index (subjective wellbeing combined),Average of subjective wellbeing (0-1000),18-24 years,2021,362,69.0,Average
8,Council Plan Indicator,Quality of life,Personal Wellbeing Index (subjective wellbeing combined),Average of subjective wellbeing (0-1000),25-34 years,2021,403,70.5,Average
8,Other,Quality of life,Personal Wellbeing Index (subjective wellbeing combined),Average of subjective wellbeing (0-1000),35-44 years,2021,189,72.5,Average
8,Other,Quality of life,Personal Wellbeing Index (subjective wellbeing combined),Average of subjective wellbeing (0-1000),45-54 years,2021,116,69.3,Average
8,Other,Quality of life,Personal Wellbeing Index (subjective wellbeing combined),Average of subjective wellbeing (0-1000),Male,2021,593,71.2,Average
8,Other,Quality of life,Personal Wellbeing Index (subjective wellbeing combined),Average of subjective wellbeing (0-1000),Carlton 3053,2021,132,69.2,Average
8,Council Plan Indicator,Quality of life,Personal Wellbeing Index (subjective wellbeing combined),Average of subjective wellbeing (0-1000),Docklands 3008,2021,107,69.0,Average
8,Other,Quality of life,Personal Wellbeing Index (subjective wellbeing combined),Average of subjective wellbeing (0-1000),Docklands 3008,2021,107,69.0,Average
8,Other,Quality of life,Personal Wellbeing Index (subjective wellbeing combined),Average of subjective wellbeing (0-1000),Kensington / Flemington 3031,2021,118,69.0,Average
8,Council Plan Indicator,Quality of life,Personal Wellbeing Index (subjective wellbeing combined),Average of subjective wellbeing (0-1000),Melbourne 3000,2021,336,69.8,Average
8,Council Plan Indicator,Quality of life,Personal Wellbeing Index (subjective wellbeing combined),Average of subjective wellbeing (0-1000),North Melbourne 3051 / West Melbourne 3003,2021,220,68.4,Average
8,Council Plan Indicator,Quality of life,Personal Wellbeing Index (subjective wellbeing combined),Average of subjective wellbeing (0-1000),South Yarra 3141 / Melbourne/St Kilda Road 3004,2021,83,76.3,Average
8,Other,Quality of life,Personal Wellbeing Index (subjective wellbeing combined),Average of subjective wellbeing (0-1000),South Yarra 3141 / Melbourne/St Kilda Road 3004,2021,83,76.3,Average
8a,Other,Subjective wellbeing,Satisfaction with standard of living,Average satisfaction score (from 0-100),45-54 years,2021,116,77.8,Average
8a,Other,Subjective wellbeing,Satisfaction with standard of living,Average satisfaction score (from 0-100),55-64 years,2021,77,80.7,Average
8a,Other,Subjective wellbeing,Satisfaction with standard of living,Average satisfaction score (from 0-100),Female,2021,698,75.9,Average
8a,Other,Subjective wellbeing,Satisfaction with standard of living,Average satisfaction score (from 0-100),Male,2021,593,76.3,Average
8a,Other,Subjective wellbeing,Satisfaction with standard of living,Average satisfaction score (from 0-100),East Melbourne 3002,2021,67,80.9,Average
