indicator,type,topic,description,response,respondent_group,year,sample_size,result,format,respondent_group0
6,Council Plan Indicator,Food security,Experienced food insecurity (worried food would run out and/or skipped meals and/or ran out of food),"Yes, in the last 12 months",55-64 years,2018,146,11.9,Per cent,
6a,Other,Food security,Worried food would run out,"Yes, in the last 12 months",Melbourne 3000,2018,283,19.3,Per cent,
6a,Other,Food security,Worried food would run out,"Yes, in the last 12 months",North Melbourne 3051 / West Melbourne 3003,2018,184,19.7,Per cent,
6a,Other,Food security,Worried food would run out,"Yes, in the last 12 months",45-54 years,2018,131,9.1,Per cent,
6b,Other,Food security,Skipped meals,"Yes, in the last 12 months",City of Melbourne,2018,1237,17.3,Per cent,
6b,Other,Food security,Skipped meals,"Yes, in the last 12 months",East Melbourne 3002,2018,81,21.6,Per cent,
6b,Other,Food security,Skipped meals,"Yes, in the last 12 months",Parkville 3052,2018,72,14.5,Per cent,
6b,Other,Food security,Skipped meals,"Yes, in the last 12 months",Female,2018,682,20.2,Per cent,
6b,Other,Food security,Skipped meals,"Yes, in the last 12 months",45-54 years,2018,131,11.2,Per cent,
6c,Other,Food security,Ran out of food,"Yes, in the last 12 months",East Melbourne 3002,2018,82,16.9,Per cent,
6c,Other,Food security,Ran out of food,"Yes, in the last 12 months",North Melbourne 3051 / West Melbourne 3003,2018,183,15.7,Per cent,
6c,Other,Food security,Ran out of food,"Yes, in the last 12 months",Parkville 3052,2018,72,6.9,Per cent,
6c,Other,Food security,Ran out of food,"Yes, in the last 12 months",Female,2018,680,12.5,Per cent,
6c,Other,Food security,Ran out of food,"Yes, in the last 12 months",55-64 years,2018,145,6.8,Per cent,
6b,Other,Food security,Skipped meals,"Yes, in the last 12 months",Docklands 3008,2018,102,13.2,Per cent,
6,Council Plan Indicator,Food security,Experienced food insecurity (worried food would run out and/or skipped meals and/or ran out of food),"Yes, in the last 12 months",Docklands 3008,2018,103,23.4,Per cent,
6,Council Plan Indicator,Food security,Experienced food insecurity (worried food would run out and/or skipped meals and/or ran out of food),"Yes, in the last 12 months",65+ years,2018,279,4.5,Per cent,
6a,Other,Food security,Worried food would run out,"Yes, in the last 12 months",Kensington/ Flemingon 3031,2018,142,21.8,Per cent,
6a,Other,Food security,Worried food would run out,"Yes, in the last 12 months",Parkville 3052,2018,71,11.0,Per cent,
6a,Other,Food security,Worried food would run out,"Yes, in the last 12 months",South Yarra 3141 / Melbourne (St Kilda Road) 3004,2018,129,15.3,Per cent,
6a,Other,Food security,Worried food would run out,"Yes, in the last 12 months",Male,2018,545,17.0,Per cent,
6a,Other,Food security,Worried food would run out,"Yes, in the last 12 months",55-64 years,2018,145,5.6,Per cent,
6b,Other,Food security,Skipped meals,"Yes, in the last 12 months",Melbourne 3000,2018,281,18.0,Per cent,
6b,Other,Food security,Skipped meals,"Yes, in the last 12 months",Southbank/ South Wharf 3006,2018,122,15.0,Per cent,
6b,Other,Food security,Skipped meals,"Yes, in the last 12 months",South Yarra 3141 / Melbourne (St Kilda Road) 3004,2018,130,13.2,Per cent,
6b,Other,Food security,Skipped meals,"Yes, in the last 12 months",55-64 years,2018,146,4.6,Per cent,
6b,Other,Food security,Skipped meals,"Yes, in the last 12 months",65+ years,2018,279,0.1,Per cent,
6c,Other,Food security,Ran out of food,"Yes, in the last 12 months",Southbank/ South Wharf 3006,2018,121,12.3,Per cent,
6c,Other,Food security,Ran out of food,"Yes, in the last 12 months",Male,2018,545,12.6,Per cent,
6c,Other,Food security,Ran out of food,"Yes, in the last 12 months",35-44 years,2018,138,14.3,Per cent,
6c,Other,Food security,Ran out of food,"Yes, in the last 12 months",45-54 years,2018,129,4.7,Per cent,
6c,Other,Food security,Ran out of food,"Yes, in the last 12 months",65+ years,2018,279,2.7,Per cent,
