Geography,Year,Category,Industry Space Use,Value
Melbourne (Remainder),2041,Jobs by industry,Accommodation,118
Melbourne (Remainder),2026,Jobs by industry,Admin and support services,1647
Melbourne (Remainder),2027,Jobs by industry,Admin and support services,1670
Melbourne (Remainder),2028,Jobs by industry,Admin and support services,1693
Melbourne (Remainder),2032,Jobs by industry,Admin and support services,1729
Melbourne (Remainder),2041,Jobs by industry,Admin and support services,1730
Melbourne (Remainder),2024,Jobs by industry,Agriculture and mining,0
Melbourne (Remainder),2025,Jobs by industry,Agriculture and mining,0
Melbourne (Remainder),2027,Jobs by industry,Agriculture and mining,0
Melbourne (Remainder),2028,Jobs by industry,Agriculture and mining,0
Melbourne (Remainder),2030,Jobs by industry,Agriculture and mining,0
Melbourne (Remainder),2032,Jobs by industry,Agriculture and mining,0
Melbourne (Remainder),2034,Jobs by industry,Agriculture and mining,0
Melbourne (Remainder),2035,Jobs by industry,Agriculture and mining,0
Melbourne (Remainder),2041,Jobs by industry,Agriculture and mining,0
Melbourne (Remainder),2022,Jobs by industry,Arts and recreation services,4281
Melbourne (Remainder),2028,Jobs by industry,Arts and recreation services,4828
Melbourne (Remainder),2032,Jobs by industry,Arts and recreation services,5257
Melbourne (Remainder),2034,Jobs by industry,Arts and recreation services,5415
Melbourne (Remainder),2022,Jobs by industry,Business services,3487
Melbourne (Remainder),2023,Jobs by industry,Business services,3587
Melbourne (Remainder),2031,Jobs by industry,Business services,3809
Melbourne (Remainder),2034,Jobs by industry,Business services,3807
Melbourne (Remainder),2037,Jobs by industry,Business services,3844
Melbourne (Remainder),2040,Jobs by industry,Business services,3922
Melbourne (Remainder),2021,Jobs by industry,Construction,181
Melbourne (Remainder),2024,Jobs by industry,Construction,191
Melbourne (Remainder),2025,Jobs by industry,Construction,196
Melbourne (Remainder),2026,Jobs by industry,Construction,200
Melbourne (Remainder),2027,Jobs by industry,Construction,204
Melbourne (Remainder),2029,Jobs by industry,Construction,210
Melbourne (Remainder),2031,Jobs by industry,Construction,211
Melbourne (Remainder),2033,Jobs by industry,Construction,204
Melbourne (Remainder),2037,Jobs by industry,Construction,205
Melbourne (Remainder),2039,Jobs by industry,Construction,207
Melbourne (Remainder),2041,Jobs by industry,Construction,206
Melbourne (Remainder),2021,Jobs by industry,Education and training,1871
Melbourne (Remainder),2026,Jobs by industry,Education and training,2036
Melbourne (Remainder),2031,Jobs by industry,Education and training,2386
Melbourne (Remainder),2035,Jobs by industry,Education and training,2395
Melbourne (Remainder),2036,Jobs by industry,Education and training,2421
Melbourne (Remainder),2039,Jobs by industry,Education and training,2460
Melbourne (Remainder),2022,Jobs by industry,"Electricity, gas, water and waste services",172
Melbourne (Remainder),2023,Jobs by industry,"Electricity, gas, water and waste services",169
Melbourne (Remainder),2024,Jobs by industry,"Electricity, gas, water and waste services",165
Melbourne (Remainder),2028,Jobs by industry,"Electricity, gas, water and waste services",161
Melbourne (Remainder),2030,Jobs by industry,"Electricity, gas, water and waste services",164
Melbourne (Remainder),2032,Jobs by industry,"Electricity, gas, water and waste services",164
Melbourne (Remainder),2035,Jobs by industry,"Electricity, gas, water and waste services",166
Melbourne (Remainder),2037,Jobs by industry,"Electricity, gas, water and waste services",167
Melbourne (Remainder),2040,Jobs by industry,"Electricity, gas, water and waste services",168
Melbourne (Remainder),2041,Jobs by industry,"Electricity, gas, water and waste services",167
Melbourne (Remainder),2021,Jobs by industry,Finance and insurance,1335
Melbourne (Remainder),2034,Jobs by industry,Finance and insurance,1503
Melbourne (Remainder),2040,Jobs by industry,Finance and insurance,1536
Melbourne (Remainder),2023,Jobs by industry,Food and beverage services,2862
Melbourne (Remainder),2025,Jobs by industry,Food and beverage services,3531
Melbourne (Remainder),2029,Jobs by industry,Food and beverage services,3994
Melbourne (Remainder),2030,Jobs by industry,Food and beverage services,4076
Melbourne (Remainder),2035,Jobs by industry,Food and beverage services,4257
Melbourne (Remainder),2040,Jobs by industry,Food and beverage services,4282
Melbourne (Remainder),2025,Jobs by industry,Health care and social assistance,7025
Melbourne (Remainder),2026,Jobs by industry,Health care and social assistance,7212
Melbourne (Remainder),2031,Jobs by industry,Health care and social assistance,7813
Melbourne (Remainder),2033,Jobs by industry,Health care and social assistance,7790
Melbourne (Remainder),2034,Jobs by industry,Health care and social assistance,7770
Melbourne (Remainder),2037,Jobs by industry,Health care and social assistance,7708
Melbourne (Remainder),2038,Jobs by industry,Health care and social assistance,7710
Melbourne (Remainder),2039,Jobs by industry,Health care and social assistance,7710
Melbourne (Remainder),2022,Jobs by industry,Information media and telecommunications,35
Melbourne (Remainder),2023,Jobs by industry,Information media and telecommunications,35
Melbourne (Remainder),2026,Jobs by industry,Information media and telecommunications,36
Melbourne (Remainder),2034,Jobs by industry,Information media and telecommunications,38
Melbourne (Remainder),2036,Jobs by industry,Information media and telecommunications,39
Melbourne (Remainder),2038,Jobs by industry,Information media and telecommunications,39
Melbourne (Remainder),2039,Jobs by industry,Information media and telecommunications,39
Melbourne (Remainder),2041,Jobs by industry,Information media and telecommunications,40
Melbourne (Remainder),2025,Jobs by industry,Manufacturing,241
Melbourne (Remainder),2028,Jobs by industry,Manufacturing,239
Melbourne (Remainder),2031,Jobs by industry,Manufacturing,239
Melbourne (Remainder),2032,Jobs by industry,Manufacturing,238
Melbourne (Remainder),2033,Jobs by industry,Manufacturing,237
Melbourne (Remainder),2035,Jobs by industry,Manufacturing,237
Melbourne (Remainder),2037,Jobs by industry,Manufacturing,234
Melbourne (Remainder),2038,Jobs by industry,Manufacturing,234
Melbourne (Remainder),2023,Jobs by industry,Other services,140
Melbourne (Remainder),2026,Jobs by industry,Other services,150
Melbourne (Remainder),2041,Jobs by industry,Other services,167
Melbourne (Remainder),2025,Jobs by industry,Public administration and safety,133
Melbourne (Remainder),2026,Jobs by industry,Public administration and safety,135
Melbourne (Remainder),2028,Jobs by industry,Public administration and safety,141
Melbourne (Remainder),2031,Jobs by industry,Public administration and safety,150
Melbourne (Remainder),2035,Jobs by industry,Public administration and safety,160
Melbourne (Remainder),2040,Jobs by industry,Public administration and safety,160
Melbourne (Remainder),2023,Jobs by industry,Real estate services,132
Melbourne (Remainder),2026,Jobs by industry,Real estate services,145
Melbourne (Remainder),2027,Jobs by industry,Real estate services,146
Melbourne (Remainder),2028,Jobs by industry,Real estate services,147
Melbourne (Remainder),2031,Jobs by industry,Real estate services,142
Melbourne (Remainder),2036,Jobs by industry,Real estate services,139
Melbourne (Remainder),2037,Jobs by industry,Real estate services,138
Melbourne (Remainder),2027,Jobs by industry,Rental and hiring services,0
Melbourne (Remainder),2028,Jobs by industry,Rental and hiring services,0
Melbourne (Remainder),2029,Jobs by industry,Rental and hiring services,0
Melbourne (Remainder),2032,Jobs by industry,Rental and hiring services,0
Melbourne (Remainder),2035,Jobs by industry,Rental and hiring services,0
Melbourne (Remainder),2036,Jobs by industry,Rental and hiring services,0
Melbourne (Remainder),2038,Jobs by industry,Rental and hiring services,0
Melbourne (Remainder),2041,Jobs by industry,Rental and hiring services,0
Melbourne (Remainder),2025,Jobs by industry,Retail trade,277
Melbourne (Remainder),2028,Jobs by industry,Retail trade,298
Melbourne (Remainder),2029,Jobs by industry,Retail trade,301
Melbourne (Remainder),2030,Jobs by industry,Retail trade,305
Melbourne (Remainder),2032,Jobs by industry,Retail trade,316
Melbourne (Remainder),2033,Jobs by industry,Retail trade,322
Melbourne (Remainder),2034,Jobs by industry,Retail trade,328
Melbourne (Remainder),2035,Jobs by industry,Retail trade,334
Melbourne (Remainder),2040,Jobs by industry,Retail trade,353
Melbourne (Remainder),2041,Jobs by industry,Retail trade,353
Melbourne (Remainder),2023,Jobs by industry,"Transport, postal and storage",53
Melbourne (Remainder),2034,Jobs by industry,"Transport, postal and storage",60
Melbourne (Remainder),2024,Jobs by industry,Wholesale trade,359
Melbourne (Remainder),2027,Jobs by industry,Wholesale trade,355
Melbourne (Remainder),2034,Jobs by industry,Wholesale trade,377
North Melbourne,2023,Jobs by industry,Accommodation,129
North Melbourne,2024,Jobs by industry,Accommodation,135
North Melbourne,2026,Jobs by industry,Accommodation,182
North Melbourne,2027,Jobs by industry,Accommodation,201
North Melbourne,2033,Jobs by industry,Accommodation,287
North Melbourne,2036,Jobs by industry,Accommodation,304
North Melbourne,2023,Jobs by industry,Admin and support services,466
North Melbourne,2026,Jobs by industry,Admin and support services,547
North Melbourne,2029,Jobs by industry,Admin and support services,599
North Melbourne,2030,Jobs by industry,Admin and support services,609
North Melbourne,2031,Jobs by industry,Admin and support services,644
North Melbourne,2032,Jobs by industry,Admin and support services,690
North Melbourne,2041,Jobs by industry,Admin and support services,966
North Melbourne,2021,Jobs by industry,Agriculture and mining,2
North Melbourne,2023,Jobs by industry,Agriculture and mining,2
North Melbourne,2027,Jobs by industry,Agriculture and mining,2
North Melbourne,2028,Jobs by industry,Agriculture and mining,2
North Melbourne,2031,Jobs by industry,Agriculture and mining,2
North Melbourne,2032,Jobs by industry,Agriculture and mining,2
North Melbourne,2033,Jobs by industry,Agriculture and mining,2
North Melbourne,2034,Jobs by industry,Agriculture and mining,2
North Melbourne,2035,Jobs by industry,Agriculture and mining,2
North Melbourne,2040,Jobs by industry,Agriculture and mining,2
North Melbourne,2024,Jobs by industry,Arts and recreation services,370
North Melbourne,2025,Jobs by industry,Arts and recreation services,373
North Melbourne,2026,Jobs by industry,Arts and recreation services,361
North Melbourne,2027,Jobs by industry,Arts and recreation services,352
North Melbourne,2029,Jobs by industry,Arts and recreation services,331
North Melbourne,2034,Jobs by industry,Arts and recreation services,331
North Melbourne,2037,Jobs by industry,Arts and recreation services,340
North Melbourne,2038,Jobs by industry,Arts and recreation services,342
North Melbourne,2040,Jobs by industry,Arts and recreation services,348
North Melbourne,2021,Jobs by industry,Business services,1824
North Melbourne,2023,Jobs by industry,Business services,1926
North Melbourne,2027,Jobs by industry,Business services,2672
North Melbourne,2028,Jobs by industry,Business services,3019
North Melbourne,2031,Jobs by industry,Business services,3947
North Melbourne,2034,Jobs by industry,Business services,4539
North Melbourne,2040,Jobs by industry,Business services,5770
North Melbourne,2021,Jobs by industry,Construction,604
North Melbourne,2023,Jobs by industry,Construction,621
North Melbourne,2026,Jobs by industry,Construction,702
North Melbourne,2029,Jobs by industry,Construction,905
North Melbourne,2032,Jobs by industry,Construction,942
North Melbourne,2033,Jobs by industry,Construction,926
North Melbourne,2035,Jobs by industry,Construction,879
North Melbourne,2036,Jobs by industry,Construction,891
North Melbourne,2037,Jobs by industry,Construction,898
North Melbourne,2038,Jobs by industry,Construction,903
North Melbourne,2021,Jobs by industry,Education and training,663
North Melbourne,2027,Jobs by industry,Education and training,1179
North Melbourne,2028,Jobs by industry,Education and training,1286
North Melbourne,2029,Jobs by industry,Education and training,1406
North Melbourne,2033,Jobs by industry,Education and training,1800
North Melbourne,2034,Jobs by industry,Education and training,1865
North Melbourne,2035,Jobs by industry,Education and training,1925
North Melbourne,2023,Jobs by industry,"Electricity, gas, water and waste services",0
North Melbourne,2029,Jobs by industry,"Electricity, gas, water and waste services",0
North Melbourne,2034,Jobs by industry,"Electricity, gas, water and waste services",0
North Melbourne,2035,Jobs by industry,"Electricity, gas, water and waste services",0
North Melbourne,2037,Jobs by industry,"Electricity, gas, water and waste services",0
North Melbourne,2022,Jobs by industry,Finance and insurance,115
North Melbourne,2023,Jobs by industry,Finance and insurance,118
North Melbourne,2036,Jobs by industry,Finance and insurance,529
North Melbourne,2037,Jobs by industry,Finance and insurance,559
North Melbourne,2040,Jobs by industry,Finance and insurance,655
North Melbourne,2025,Jobs by industry,Food and beverage services,845
North Melbourne,2028,Jobs by industry,Food and beverage services,997
North Melbourne,2029,Jobs by industry,Food and beverage services,1034
North Melbourne,2035,Jobs by industry,Food and beverage services,1245
North Melbourne,2041,Jobs by industry,Food and beverage services,1351
North Melbourne,2021,Jobs by industry,Health care and social assistance,1902
North Melbourne,2027,Jobs by industry,Health care and social assistance,4079
North Melbourne,2029,Jobs by industry,Health care and social assistance,4940
North Melbourne,2033,Jobs by industry,Health care and social assistance,6051
North Melbourne,2029,Jobs by industry,Information media and telecommunications,209
North Melbourne,2030,Jobs by industry,Information media and telecommunications,221
North Melbourne,2031,Jobs by industry,Information media and telecommunications,234
North Melbourne,2033,Jobs by industry,Information media and telecommunications,282
North Melbourne,2035,Jobs by industry,Information media and telecommunications,374
North Melbourne,2039,Jobs by industry,Information media and telecommunications,402
North Melbourne,2041,Jobs by industry,Information media and telecommunications,418
North Melbourne,2021,Jobs by industry,Manufacturing,297
North Melbourne,2024,Jobs by industry,Manufacturing,252
North Melbourne,2028,Jobs by industry,Manufacturing,210
North Melbourne,2033,Jobs by industry,Manufacturing,103
North Melbourne,2039,Jobs by industry,Manufacturing,95
North Melbourne,2040,Jobs by industry,Manufacturing,93
North Melbourne,2021,Jobs by industry,Other services,1022
North Melbourne,2028,Jobs by industry,Other services,1211
North Melbourne,2030,Jobs by industry,Other services,1225
North Melbourne,2031,Jobs by industry,Other services,1315
North Melbourne,2033,Jobs by industry,Other services,1449
North Melbourne,2035,Jobs by industry,Other services,1539
North Melbourne,2040,Jobs by industry,Other services,1647
North Melbourne,2034,Jobs by industry,Public administration and safety,595
North Melbourne,2036,Jobs by industry,Public administration and safety,615
North Melbourne,2037,Jobs by industry,Public administration and safety,621
North Melbourne,2038,Jobs by industry,Public administration and safety,628
North Melbourne,2040,Jobs by industry,Public administration and safety,643
North Melbourne,2041,Jobs by industry,Public administration and safety,651
North Melbourne,2022,Jobs by industry,Real estate services,111
North Melbourne,2023,Jobs by industry,Real estate services,114
North Melbourne,2028,Jobs by industry,Real estate services,134
North Melbourne,2029,Jobs by industry,Real estate services,138
North Melbourne,2031,Jobs by industry,Real estate services,158
North Melbourne,2033,Jobs by industry,Real estate services,164
North Melbourne,2038,Jobs by industry,Real estate services,180
North Melbourne,2040,Jobs by industry,Real estate services,186
North Melbourne,2022,Jobs by industry,Rental and hiring services,29
North Melbourne,2023,Jobs by industry,Rental and hiring services,31
North Melbourne,2026,Jobs by industry,Rental and hiring services,36
North Melbourne,2031,Jobs by industry,Rental and hiring services,49
North Melbourne,2033,Jobs by industry,Rental and hiring services,63
North Melbourne,2036,Jobs by industry,Rental and hiring services,80
North Melbourne,2038,Jobs by industry,Rental and hiring services,82
North Melbourne,2041,Jobs by industry,Rental and hiring services,85
North Melbourne,2028,Jobs by industry,Retail trade,934
North Melbourne,2030,Jobs by industry,Retail trade,1030
North Melbourne,2038,Jobs by industry,Retail trade,1508
North Melbourne,2040,Jobs by industry,Retail trade,1636
North Melbourne,2021,Jobs by industry,"Transport, postal and storage",261
North Melbourne,2025,Jobs by industry,"Transport, postal and storage",274
North Melbourne,2026,Jobs by industry,"Transport, postal and storage",236
North Melbourne,2028,Jobs by industry,"Transport, postal and storage",167
North Melbourne,2033,Jobs by industry,"Transport, postal and storage",127
North Melbourne,2034,Jobs by industry,"Transport, postal and storage",127
North Melbourne,2037,Jobs by industry,"Transport, postal and storage",128
North Melbourne,2039,Jobs by industry,"Transport, postal and storage",130
North Melbourne,2040,Jobs by industry,"Transport, postal and storage",131
North Melbourne,2026,Jobs by industry,Wholesale trade,277
North Melbourne,2027,Jobs by industry,Wholesale trade,269
North Melbourne,2030,Jobs by industry,Wholesale trade,197
North Melbourne,2031,Jobs by industry,Wholesale trade,200
North Melbourne,2035,Jobs by industry,Wholesale trade,188
Parkville,2022,Jobs by industry,Accommodation,577
Parkville,2023,Jobs by industry,Accommodation,562
Parkville,2027,Jobs by industry,Accommodation,582
Parkville,2029,Jobs by industry,Accommodation,597
Parkville,2031,Jobs by industry,Admin and support services,87
Parkville,2032,Jobs by industry,Admin and support services,86
Parkville,2035,Jobs by industry,Admin and support services,81
Parkville,2037,Jobs by industry,Admin and support services,84
Parkville,2039,Jobs by industry,Admin and support services,86
Parkville,2040,Jobs by industry,Admin and support services,87
Parkville,2041,Jobs by industry,Admin and support services,90
Parkville,2021,Jobs by industry,Agriculture and mining,0
Parkville,2028,Jobs by industry,Agriculture and mining,0
Parkville,2031,Jobs by industry,Agriculture and mining,0
Parkville,2033,Jobs by industry,Agriculture and mining,0
Parkville,2036,Jobs by industry,Agriculture and mining,0
Parkville,2037,Jobs by industry,Agriculture and mining,0
Parkville,2038,Jobs by industry,Agriculture and mining,0
Parkville,2039,Jobs by industry,Agriculture and mining,0
Parkville,2040,Jobs by industry,Agriculture and mining,0
Parkville,2022,Jobs by industry,Arts and recreation services,563
Parkville,2023,Jobs by industry,Arts and recreation services,560
Parkville,2027,Jobs by industry,Arts and recreation services,567
Parkville,2031,Jobs by industry,Arts and recreation services,601
Parkville,2039,Jobs by industry,Arts and recreation services,664
Parkville,2024,Jobs by industry,Business services,1265
Parkville,2032,Jobs by industry,Business services,1225
Parkville,2033,Jobs by industry,Business services,1217
Parkville,2034,Jobs by industry,Business services,1209
Parkville,2037,Jobs by industry,Business services,1204
Parkville,2025,Jobs by industry,Construction,0
Parkville,2028,Jobs by industry,Construction,0
Parkville,2029,Jobs by industry,Construction,0
Parkville,2030,Jobs by industry,Construction,0
Parkville,2036,Jobs by industry,Construction,0
Parkville,2041,Jobs by industry,Construction,0
Parkville,2024,Jobs by industry,Education and training,4824
Parkville,2026,Jobs by industry,Education and training,5022
Parkville,2027,Jobs by industry,Education and training,5180
Parkville,2032,Jobs by industry,Education and training,5845
Parkville,2034,Jobs by industry,Education and training,5916
Parkville,2037,Jobs by industry,Education and training,6088
Parkville,2023,Jobs by industry,"Electricity, gas, water and waste services",0
Parkville,2024,Jobs by industry,"Electricity, gas, water and waste services",0
Parkville,2028,Jobs by industry,"Electricity, gas, water and waste services",0
Parkville,2030,Jobs by industry,"Electricity, gas, water and waste services",0
Parkville,2034,Jobs by industry,"Electricity, gas, water and waste services",0
Parkville,2035,Jobs by industry,"Electricity, gas, water and waste services",0
Parkville,2037,Jobs by industry,"Electricity, gas, water and waste services",0
Parkville,2040,Jobs by industry,"Electricity, gas, water and waste services",0
Parkville,2021,Jobs by industry,Finance and insurance,35
Parkville,2033,Jobs by industry,Finance and insurance,38
Parkville,2034,Jobs by industry,Finance and insurance,38
Parkville,2041,Jobs by industry,Finance and insurance,41
Parkville,2021,Jobs by industry,Food and beverage services,701
Parkville,2023,Jobs by industry,Food and beverage services,732
Parkville,2024,Jobs by industry,Food and beverage services,791
Parkville,2026,Jobs by industry,Food and beverage services,941
Parkville,2029,Jobs by industry,Food and beverage services,1063
Parkville,2031,Jobs by industry,Food and beverage services,1136
Parkville,2033,Jobs by industry,Food and beverage services,1161
Parkville,2035,Jobs by industry,Food and beverage services,1183
Parkville,2021,Jobs by industry,Health care and social assistance,21045
Parkville,2022,Jobs by industry,Health care and social assistance,21195
Parkville,2029,Jobs by industry,Health care and social assistance,23856
Parkville,2031,Jobs by industry,Health care and social assistance,24657
Parkville,2033,Jobs by industry,Health care and social assistance,25017
Parkville,2035,Jobs by industry,Health care and social assistance,25200
Parkville,2036,Jobs by industry,Health care and social assistance,25392
Parkville,2039,Jobs by industry,Health care and social assistance,26341
Parkville,2021,Jobs by industry,Information media and telecommunications,11
Parkville,2025,Jobs by industry,Information media and telecommunications,10
Parkville,2028,Jobs by industry,Information media and telecommunications,10
Parkville,2031,Jobs by industry,Information media and telecommunications,11
Parkville,2034,Jobs by industry,Information media and telecommunications,12
Parkville,2041,Jobs by industry,Information media and telecommunications,13
Parkville,2023,Jobs by industry,Manufacturing,965
Parkville,2026,Jobs by industry,Manufacturing,893
Parkville,2027,Jobs by industry,Manufacturing,888
Parkville,2029,Jobs by industry,Manufacturing,873
Parkville,2032,Jobs by industry,Manufacturing,831
Parkville,2034,Jobs by industry,Manufacturing,798
Parkville,2037,Jobs by industry,Manufacturing,779
Parkville,2038,Jobs by industry,Manufacturing,778
Parkville,2040,Jobs by industry,Manufacturing,775
Parkville,2022,Jobs by industry,Other services,167
Parkville,2034,Jobs by industry,Other services,212
Parkville,2038,Jobs by industry,Other services,227
Parkville,2039,Jobs by industry,Other services,231
Parkville,2021,Jobs by industry,Public administration and safety,117
Parkville,2025,Jobs by industry,Public administration and safety,112
Parkville,2029,Jobs by industry,Public administration and safety,122
Parkville,2030,Jobs by industry,Public administration and safety,125
Parkville,2036,Jobs by industry,Public administration and safety,138
Parkville,2023,Jobs by industry,Real estate services,32
Parkville,2028,Jobs by industry,Real estate services,36
Parkville,2032,Jobs by industry,Real estate services,36
Parkville,2034,Jobs by industry,Real estate services,37
Parkville,2035,Jobs by industry,Real estate services,37
Parkville,2038,Jobs by industry,Real estate services,38
Parkville,2039,Jobs by industry,Real estate services,38
Parkville,2040,Jobs by industry,Real estate services,38
Parkville,2041,Jobs by industry,Real estate services,39
Parkville,2027,Jobs by industry,Rental and hiring services,0
Parkville,2029,Jobs by industry,Rental and hiring services,0
Parkville,2030,Jobs by industry,Rental and hiring services,0
Parkville,2031,Jobs by industry,Rental and hiring services,0
Parkville,2033,Jobs by industry,Rental and hiring services,0
Parkville,2036,Jobs by industry,Rental and hiring services,0
Parkville,2039,Jobs by industry,Rental and hiring services,0
Parkville,2040,Jobs by industry,Rental and hiring services,0
Parkville,2021,Jobs by industry,Retail trade,56
Parkville,2030,Jobs by industry,Retail trade,87
Parkville,2031,Jobs by industry,Retail trade,89
Parkville,2032,Jobs by industry,Retail trade,93
Parkville,2039,Jobs by industry,Retail trade,123
Parkville,2041,Jobs by industry,Retail trade,135
Parkville,2021,Jobs by industry,"Transport, postal and storage",4
Parkville,2023,Jobs by industry,"Transport, postal and storage",4
Parkville,2027,Jobs by industry,"Transport, postal and storage",5
Parkville,2029,Jobs by industry,"Transport, postal and storage",5
Parkville,2030,Jobs by industry,"Transport, postal and storage",5
Parkville,2031,Jobs by industry,"Transport, postal and storage",5
Parkville,2035,Jobs by industry,"Transport, postal and storage",6
Parkville,2036,Jobs by industry,"Transport, postal and storage",6
Parkville,2040,Jobs by industry,"Transport, postal and storage",6
Parkville,2026,Jobs by industry,Wholesale trade,43
Parkville,2030,Jobs by industry,Wholesale trade,44
Parkville,2038,Jobs by industry,Wholesale trade,48
Parkville,2041,Jobs by industry,Wholesale trade,50
Port Melbourne,2021,Jobs by industry,Accommodation,26
Port Melbourne,2022,Jobs by industry,Accommodation,27
Port Melbourne,2027,Jobs by industry,Accommodation,49
Port Melbourne,2034,Jobs by industry,Accommodation,79
Port Melbourne,2037,Jobs by industry,Accommodation,95
Port Melbourne,2040,Jobs by industry,Accommodation,105
Port Melbourne,2027,Jobs by industry,Admin and support services,629
Port Melbourne,2028,Jobs by industry,Admin and support services,641
Port Melbourne,2038,Jobs by industry,Admin and support services,2253
Port Melbourne,2039,Jobs by industry,Admin and support services,2367
Port Melbourne,2041,Jobs by industry,Admin and support services,2579
Port Melbourne,2021,Jobs by industry,Agriculture and mining,7
Port Melbourne,2022,Jobs by industry,Agriculture and mining,6
Port Melbourne,2023,Jobs by industry,Agriculture and mining,6
Port Melbourne,2025,Jobs by industry,Agriculture and mining,6
Port Melbourne,2031,Jobs by industry,Agriculture and mining,5
Port Melbourne,2033,Jobs by industry,Agriculture and mining,4
Port Melbourne,2034,Jobs by industry,Agriculture and mining,4
Port Melbourne,2035,Jobs by industry,Agriculture and mining,4
Port Melbourne,2041,Jobs by industry,Agriculture and mining,2
Port Melbourne,2023,Jobs by industry,Arts and recreation services,103
Port Melbourne,2024,Jobs by industry,Arts and recreation services,107
Port Melbourne,2026,Jobs by industry,Arts and recreation services,113
Port Melbourne,2028,Jobs by industry,Arts and recreation services,130
Port Melbourne,2029,Jobs by industry,Arts and recreation services,141
Port Melbourne,2031,Jobs by industry,Arts and recreation services,131
Port Melbourne,2033,Jobs by industry,Arts and recreation services,98
Port Melbourne,2035,Jobs by industry,Arts and recreation services,89
Port Melbourne,2037,Jobs by industry,Arts and recreation services,108
Port Melbourne,2039,Jobs by industry,Arts and recreation services,127
Port Melbourne,2041,Jobs by industry,Arts and recreation services,149
Port Melbourne,2022,Jobs by industry,Business services,1082
Port Melbourne,2023,Jobs by industry,Business services,1114
Port Melbourne,2027,Jobs by industry,Business services,1207
Port Melbourne,2029,Jobs by industry,Business services,1266
Port Melbourne,2039,Jobs by industry,Business services,9769
Port Melbourne,2022,Jobs by industry,Construction,1054
Port Melbourne,2025,Jobs by industry,Construction,1143
Port Melbourne,2033,Jobs by industry,Construction,1650
Port Melbourne,2035,Jobs by industry,Construction,1829
Port Melbourne,2036,Jobs by industry,Construction,1853
Port Melbourne,2037,Jobs by industry,Construction,1873
Port Melbourne,2039,Jobs by industry,Construction,1913
Port Melbourne,2021,Jobs by industry,Education and training,154
Port Melbourne,2024,Jobs by industry,Education and training,156
Port Melbourne,2025,Jobs by industry,Education and training,173
Port Melbourne,2028,Jobs by industry,Education and training,245
Port Melbourne,2030,Jobs by industry,Education and training,324
Port Melbourne,2034,Jobs by industry,Education and training,2087
Port Melbourne,2036,Jobs by industry,Education and training,2920
Port Melbourne,2038,Jobs by industry,Education and training,2989
Port Melbourne,2039,Jobs by industry,Education and training,3020
Port Melbourne,2021,Jobs by industry,"Electricity, gas, water and waste services",47
Port Melbourne,2022,Jobs by industry,"Electricity, gas, water and waste services",46
Port Melbourne,2027,Jobs by industry,"Electricity, gas, water and waste services",42
Port Melbourne,2030,Jobs by industry,"Electricity, gas, water and waste services",44
Port Melbourne,2032,Jobs by industry,"Electricity, gas, water and waste services",120
Port Melbourne,2036,Jobs by industry,"Electricity, gas, water and waste services",32
Port Melbourne,2038,Jobs by industry,"Electricity, gas, water and waste services",32
Port Melbourne,2040,Jobs by industry,"Electricity, gas, water and waste services",33
South Yarra,2021,Jobs by industry,Construction,0
Port Melbourne,2041,Jobs by industry,"Electricity, gas, water and waste services",34
Port Melbourne,2029,Jobs by industry,Finance and insurance,48
Port Melbourne,2032,Jobs by industry,Finance and insurance,140
Port Melbourne,2037,Jobs by industry,Finance and insurance,396
Port Melbourne,2022,Jobs by industry,Food and beverage services,302
Port Melbourne,2024,Jobs by industry,Food and beverage services,322
Port Melbourne,2026,Jobs by industry,Food and beverage services,376
Port Melbourne,2029,Jobs by industry,Food and beverage services,450
Port Melbourne,2032,Jobs by industry,Food and beverage services,500
Port Melbourne,2035,Jobs by industry,Food and beverage services,486
Port Melbourne,2036,Jobs by industry,Food and beverage services,505
Port Melbourne,2038,Jobs by industry,Food and beverage services,539
Port Melbourne,2023,Jobs by industry,Health care and social assistance,160
Port Melbourne,2028,Jobs by industry,Health care and social assistance,350
Port Melbourne,2029,Jobs by industry,Health care and social assistance,484
Port Melbourne,2032,Jobs by industry,Health care and social assistance,1463
Port Melbourne,2034,Jobs by industry,Health care and social assistance,2260
Port Melbourne,2036,Jobs by industry,Health care and social assistance,3292
Port Melbourne,2040,Jobs by industry,Health care and social assistance,4532
Port Melbourne,2022,Jobs by industry,Information media and telecommunications,680
Port Melbourne,2023,Jobs by industry,Information media and telecommunications,679
Port Melbourne,2024,Jobs by industry,Information media and telecommunications,676
Port Melbourne,2025,Jobs by industry,Information media and telecommunications,675
Port Melbourne,2026,Jobs by industry,Information media and telecommunications,675
Port Melbourne,2027,Jobs by industry,Information media and telecommunications,684
Port Melbourne,2028,Jobs by industry,Information media and telecommunications,693
Port Melbourne,2030,Jobs by industry,Information media and telecommunications,712
Port Melbourne,2035,Jobs by industry,Information media and telecommunications,507
Port Melbourne,2038,Jobs by industry,Information media and telecommunications,520
Port Melbourne,2041,Jobs by industry,Information media and telecommunications,538
Port Melbourne,2023,Jobs by industry,Manufacturing,3430
Port Melbourne,2025,Jobs by industry,Manufacturing,3194
Port Melbourne,2026,Jobs by industry,Manufacturing,3130
Port Melbourne,2030,Jobs by industry,Manufacturing,3234
Port Melbourne,2034,Jobs by industry,Manufacturing,2898
Port Melbourne,2035,Jobs by industry,Manufacturing,2778
