ServiceName,ServiceType,Address,Suburb,State,Postcode,Phone,full_address,Latitude,Longitude
BYK KIDS,Centre-Based Care,Manuka Dr,FERNTREE GULLY,VIC,3156,,"Manuka Dr, FERNTREE GULLY, VIC, 3156, Australia",-37.8689509,145.265637
TeamKids - Sacred Heart Primary,Centre-Based Care,35 Wicklow Avenue,CROYDON,VIC,3136,1300035000,"35 Wicklow Avenue, CROYDON, VIC, 3136, Australia",-37.7979727,145.2756076
The Grove Children's Centre,Centre-Based Care,38-40 The Grove,COBURG,VIC,3058,03 9386 3033,"38-40 The Grove, COBURG, VIC, 3058, Australia",-37.7520341,144.9701579
Camp Australia - St Patrick's School Lilydale OSHC,Centre-Based Care,Jones Street,LILYDALE,VIC,3140,452213049,"Jones Street, LILYDALE, VIC, 3140, Australia",-37.7530057,145.3522097
Camp Australia - Stella Maris Catholic Primary School OSHC,Centre-Based Care,54-70 Innisfail Dr,POINT COOK,VIC,3030,401571286,"54-70 Innisfail Dr, POINT COOK, VIC, 3030, Australia",-37.8906864,144.7276514
Carrington Primary School OSHC,Centre-Based Care,Laura Road,KNOXFIELD,VIC,3180,03 9763 9600,"Laura Road, KNOXFIELD, VIC, 3180, Australia",-37.8940672,145.2398836
TeamKids - Wyndham Park Primary,Centre-Based Care,77 Kookaburra Avenue,WERRIBEE,VIC,3030,1300035000,"77 Kookaburra Avenue, WERRIBEE, VIC, 3030, Australia",-37.8852633,144.6809395
Little Oak Early Learning Centre,Centre-Based Care,53-55 Shaws Rd,WERRIBEE,VIC,3030,03 8731 1500,"53-55 Shaws Rd, WERRIBEE, VIC, 3030, Australia",-37.8882882,144.6485808
ALPHA KIDZ FAMILY DAY CARE,Family Day Care,7 Zeta Crescent,POINT COOK,VIC,3030,451148713,"7 Zeta Crescent, POINT COOK, VIC, 3030, Australia",-37.8837581,144.7383816
Kingston Heath PS TheirCare,Centre-Based Care,"Kingston Heath Primary School, 25 Farm Rd",CHELTENHAM,VIC,3192,,"Kingston Heath Primary School, 25 Farm Rd, CHELTENHAM, VIC, 3192, Australia",-37.9622203,145.0791608
Aspire Early Education & Kindergarten Wollert,Centre-Based Care,335 Harvest Home Rd,EPPING,VIC,3076,1800978429,"335 Harvest Home Rd, EPPING, VIC, 3076, Australia",-37.6209948,145.0049177
Inspire and play early learning centre,Centre-Based Care,28 Haverstock Hill Cl,ENDEAVOUR HILLS,VIC,3802,432356775,"28 Haverstock Hill Cl, ENDEAVOUR HILLS, VIC, 3802, Australia",-37.9704549,145.2491529
Edu-Play Early Learning Centre,Centre-Based Care,47 Railway St N,ALTONA,VIC,3018,390008916,"47 Railway St N, ALTONA, VIC, 3018, Australia",-37.867263,144.833795
Explorers Early Learning - Kooyong Road,Centre-Based Care,117 Kooyong Rd,ARMADALE,VIC,3143,392483030,"117 Kooyong Rd, ARMADALE, VIC, 3143, Australia",-37.8528618,145.0208771
The Learning Space Coburg,Centre-Based Care,222a Bell St,COBURG,VIC,3058,393505000,"222a Bell St, COBURG, VIC, 3058, Australia",-37.7402624,144.9576677
Brighton Street Early Learning,Centre-Based Care,68 Brighton St,RICHMOND,VIC,3121,384149988,"68 Brighton St, RICHMOND, VIC, 3121, Australia",-37.8288795,144.9987945
Holy Trinity Early Learning Centre,Centre-Based Care,251 High St,KEW,VIC,3101,407563027,"251 High St, KEW, VIC, 3101, Australia",-37.8055307,145.0341344
Newbury PS TheirCare,Centre-Based Care,"Newbury Primary School, 202-226 Newbury Bvd",CRAIGIEBURN,VIC,3064,1300072410,"Newbury Primary School, 202-226 Newbury Bvd, CRAIGIEBURN, VIC, 3064, Australia",-37.570759,144.9106206
Kids Academy Kensington,Centre-Based Care,64 Stubbs St,KENSINGTON,VIC,3031,370205350,"64 Stubbs St, KENSINGTON, VIC, 3031, Australia",-37.7911909,144.9353268
Explorers Early Learning - Tarneit,Centre-Based Care,80 Homebush Dr,TARNEIT,VIC,3029,03 7020 9066,"80 Homebush Dr, TARNEIT, VIC, 3029, Australia",-37.8406208,144.6422804
Strong Drive Kindergarten,Centre-Based Care,101 Strong Drive,HAMPTON PARK,VIC,3976,03 9799 9095,"101 Strong Drive, HAMPTON PARK, VIC, 3976, Australia",-38.0334246,145.2772051
Melbourne Juniors,Centre-Based Care,24 Sheila Street,PRESTON,VIC,3072,394702844,"24 Sheila Street, PRESTON, VIC, 3072, Australia",-37.7391285,145.0246446
Tarneit Kindergarten,Centre-Based Care,150 Sunset Views Boulevard,TARNEIT,VIC,3029,397484399,"150 Sunset Views Boulevard, TARNEIT, VIC, 3029, Australia",-37.8354506,144.6960384
Malin Friends Nursery and Kindergarten,Centre-Based Care,305 Barkers Road,KEW,VIC,3101,398177788,"305 Barkers Road, KEW, VIC, 3101, Australia",-37.815424,145.0446196
Kids on Gallaghers Child Care Centre,Centre-Based Care,254 Gallaghers Road,GLEN WAVERLEY,VIC,3150,03 9590 0321,"254 Gallaghers Road, GLEN WAVERLEY, VIC, 3150, Australia",-37.8816745,145.1779932
Little Sunshine Early Learning,Centre-Based Care,2 Hedge End Road,NUNAWADING,VIC,3131,398723799,"2 Hedge End Road, NUNAWADING, VIC, 3131, Australia",-37.8029191,145.1868512
Bambou Early Learning Centre,Centre-Based Care,464- 468 Blackburn Road,GLEN WAVERLEY,VIC,3150,398866563,"464- 468 Blackburn Road, GLEN WAVERLEY, VIC, 3150, Australia",-37.8999545,145.1432469
Point Cook Community Learning Centre Kindergarten,Centre-Based Care,1-21 Cheetham St,POINT COOK,VIC,3030,393958322,"1-21 Cheetham St, POINT COOK, VIC, 3030, Australia",-37.881953,144.7358235
Casa Bambini Children's Centre - Essendon,Centre-Based Care,259-261 Buckley St,ESSENDON,VIC,3040,393373866,"259-261 Buckley St, ESSENDON, VIC, 3040, Australia",-37.7556792,144.903431
Kids Own Early Childhood Learning Centre,Centre-Based Care,421-423 Dorset Rd,CROYDON,VIC,3136,397256799,"421-423 Dorset Rd, CROYDON, VIC, 3136, Australia",-37.7781926,145.294012
Busy Bees at Glenroy,Centre-Based Care,51 Gladstone Parade,GLENROY,VIC,3046,393068418,"51 Gladstone Parade, GLENROY, VIC, 3046, Australia",-37.7090763,144.90926
Yaringa Kindergarten and Early Learning Centre,Centre-Based Care,142-144 Camms Road,CRANBOURNE,VIC,3977,03 5995 4970,"142-144 Camms Road, CRANBOURNE, VIC, 3977, Australia",-38.0999873,145.2919436
MAYFIELD EARLY EDUCATION LILYDALE,Centre-Based Care,35-37 Cave Hill Rd,LILYDALE,VIC,3140,397355366,"35-37 Cave Hill Rd, LILYDALE, VIC, 3140, Australia",-37.7569101,145.3426473
Baby college Ashwood,Centre-Based Care,66-70 High Street Rd,ASHWOOD,VIC,3147,370479333,"66-70 High Street Rd, ASHWOOD, VIC, 3147, Australia",-37.866422,145.0970552
Gowrie Victoria The Harbour,Centre-Based Care,1 Seafarer Lane,DOCKLANDS,VIC,3008,386241000,"1 Seafarer Lane, DOCKLANDS, VIC, 3008, Australia",-37.8206006,144.943009
Great Beginnings Reservoir,Centre-Based Care,763 Gilbert Road,RESERVOIR,VIC,3073,394789222,"763 Gilbert Road, RESERVOIR, VIC, 3073, Australia",-37.719383,144.9929121
Bridge Road Early Learning Centre,Centre-Based Care,624-628 Bridge Rd,RICHMOND,VIC,3121,394292944,"624-628 Bridge Rd, RICHMOND, VIC, 3121, Australia",-37.8200721,145.0118057
Red Apple Early Learning Centre,Centre-Based Care,487-489 Canterbury Rd,VERMONT,VIC,3133,398737300,"487-489 Canterbury Rd, VERMONT, VIC, 3133, Australia",-37.8355758,145.1965068
Community Children - Essendon,Centre-Based Care,50 Cooper Street,ESSENDON,VIC,3040,03 9337 6634,"50 Cooper Street, ESSENDON, VIC, 3040, Australia",-37.7500247,144.8976529
Ferntree Gully Children's Centre,Centre-Based Care,897 Burwood Highway,FERNTREE GULLY,VIC,3156,03 9753 5755,"897 Burwood Highway, FERNTREE GULLY, VIC, 3156, Australia",-37.8835614,145.2820423
Penguin Childcare Epping,Centre-Based Care,9 Church Street,EPPING,VIC,3076,384053266,"9 Church Street, EPPING, VIC, 3076, Australia",-37.6460973,145.0254691
Maroondah Kids Early Learning Centre,Centre-Based Care,109 Alto Avenue,CROYDON,VIC,3136,397252225,"109 Alto Avenue, CROYDON, VIC, 3136, Australia",-37.7895611,145.2686099
Discovery Childcare and Education,Centre-Based Care,50 Maroondah Hwy,CROYDON,VIC,3136,03 9722 8933,"50 Maroondah Hwy, CROYDON, VIC, 3136, Australia",-37.7911265,145.2645852
Bloom Early Learning Malvern East,Centre-Based Care,1-3 Olive St,MALVERN EAST,VIC,3145,413608528,"1-3 Olive St, MALVERN EAST, VIC, 3145, Australia",-37.8754615,145.059969
Epping North YMCA Early Learning Centre,Centre-Based Care,"Harvest Home Primary School, 365 Harvest Home Rd",EPPING,VIC,3076,383710520,"Harvest Home Primary School, 365 Harvest Home Rd, EPPING, VIC, 3076, Australia",-37.6228311,145.0025068
Happy Hubbub,Centre-Based Care,239a Murray Rd,PRESTON,VIC,3072,1300482282,"239a Murray Rd, PRESTON, VIC, 3072, Australia",-37.7382317,145.0051973
Future Kids Child Care-West Tarneit,Centre-Based Care,999 LEAKES ROAD,TARNEIT,VIC,3029,03 8578 0322,"999 LEAKES ROAD, TARNEIT, VIC, 3029, Australia",-37.8311551,144.6634072
TeamKids - Nearnung Primary,Centre-Based Care,85 Polly Pde,TARNEIT,VIC,3029,1300035000,"85 Polly Pde, TARNEIT, VIC, 3029, Australia",-37.8248981,144.6849057
Early Education and Care,Centre-Based Care,216 Craigieburn Rd,CRAIGIEBURN,VIC,3064,420733579,"216 Craigieburn Rd, CRAIGIEBURN, VIC, 3064, Australia",-37.5972115,144.9276629
Inspire Early Learning Journey Reservoir,Centre-Based Care,823-825 Plenty Rd,RESERVOIR,VIC,3073,,"823-825 Plenty Rd, RESERVOIR, VIC, 3073, Australia",-37.7254868,145.0232252
Precious Seeds Early Learning Centre Hallam,Centre-Based Care,99 Frawley Rd,HALLAM,VIC,3803,397023111,"99 Frawley Rd, HALLAM, VIC, 3803, Australia",-38.0013354,145.2746802
Wayi School TheirCare,Centre-Based Care,1200 Aitken Bvd,CRAIGIEBURN,VIC,3064,1300072410,"1200 Aitken Bvd, CRAIGIEBURN, VIC, 3064, Australia",-37.5763372,144.9217911
Meadowglen  Primary School Kindergarten,Centre-Based Care,3 Pommel Crescent,EPPING,VIC,3076,394744861,"3 Pommel Crescent, EPPING, VIC, 3076, Australia",-37.64246,145.0541312
Reservoir East Primary School Kindergarten,Centre-Based Care,"Reservoir East Primary School, 58 Boldrewood Pde",RESERVOIR,VIC,3073,394744865,"Reservoir East Primary School, 58 Boldrewood Pde, RESERVOIR, VIC, 3073, Australia",-37.7200983,145.0225143
Camp Australia - Mossgiel Park Primary School OSHC,Centre-Based Care,71 Scotsburn Way,ENDEAVOUR HILLS,VIC,3802,1300105343,"71 Scotsburn Way, ENDEAVOUR HILLS, VIC, 3802, Australia",-37.9682455,145.2666688
YMCA - Moomba Park Primary School OSHC,Centre-Based Care,"Moomba Park Primary School, 111 Anderson Rd",FAWKNER,VIC,3060,499222547,"Moomba Park Primary School, 111 Anderson Rd, FAWKNER, VIC, 3060, Australia",-37.6969508,144.9664731
Narre Warren Early Learning Centre,Centre-Based Care,102 Anaconda Road,NARRE WARREN,VIC,3805,397051311,"102 Anaconda Road, NARRE WARREN, VIC, 3805, Australia",-38.001616,145.3049318
Guardian Childcare & Education Box Hill,Centre-Based Care,24 Sweetland Road,BOX HILL,VIC,3128,398904257,"24 Sweetland Road, BOX HILL, VIC, 3128, Australia",-37.8246298,145.1352021
Moomba Park Kindergarten,Centre-Based Care,65 Alec Cres,FAWKNER,VIC,3060,393596204,"65 Alec Cres, FAWKNER, VIC, 3060, Australia",-37.6934896,144.969467
Joybelle Child Care Centre,Centre-Based Care,1346 Sydney Road,FAWKNER,VIC,3060,393591504,"1346 Sydney Road, FAWKNER, VIC, 3060, Australia",-37.6951079,144.9595492
Belle Vue Park Kindergarten,Centre-Based Care,"Belle Vue Park Primary School, Morell Street",GLENROY,VIC,3046,393064868,"Belle Vue Park Primary School, Morell Street, GLENROY, VIC, 3046, Australia",-37.7013419,144.9434581
Small Friends Childcare & Education Pearl Street,Centre-Based Care,2 Pearl Street,GLENROY,VIC,3046,393068366,"2 Pearl Street, GLENROY, VIC, 3046, Australia",-37.709532,144.9271345
East Brunswick Kindergarten,Centre-Based Care,2 Noel Street,EAST BRUNSWICK,VIC,3057,394893037,"2 Noel Street, EAST BRUNSWICK, VIC, 3057, Australia",-37.7727152,144.9804457
Bank Street Preschool,Centre-Based Care,26 Bank Street,CRAIGIEBURN,VIC,3064,393081129,"26 Bank Street, CRAIGIEBURN, VIC, 3064, Australia",-37.5929362,144.9283465
Mitford Crescent Preschool,Centre-Based Care,14 Mitford Crescent,CRAIGIEBURN,VIC,3064,393082299,"14 Mitford Crescent, CRAIGIEBURN, VIC, 3064, Australia",-37.6066213,144.9378633
Pembroke Crescent Preschool Centre,Centre-Based Care,48 Pembroke Crescent,CRAIGIEBURN,VIC,3064,393083544,"48 Pembroke Crescent, CRAIGIEBURN, VIC, 3064, Australia",-37.6042462,144.9247592
Barrymore Road Children's Centre,Centre-Based Care,27 Barrymore Road,GREENVALE,VIC,3059,436928811,"27 Barrymore Road, GREENVALE, VIC, 3059, Australia",-37.6508109,144.8934132
Craigieburn Early Childhood Services Centre,Centre-Based Care,153 Craigieburn Road,CRAIGIEBURN,VIC,3064,393566150,"153 Craigieburn Road, CRAIGIEBURN, VIC, 3064, Australia",-37.5985163,144.9350616
Milestones Early Learning Tarneit,Centre-Based Care,345 Hogans Rd,TARNEIT,VIC,3029,387548653,"345 Hogans Rd, TARNEIT, VIC, 3029, Australia",-37.860659,144.6629026
Barring Djinang Kindergarten,Centre-Based Care,129 Ferrars St,SOUTHBANK,VIC,3006,392096840,"129 Ferrars St, SOUTHBANK, VIC, 3006, Australia",-37.8294756,144.9538306
FIRST FIVE EARLY LEARNING CRANBOURNE,Centre-Based Care,2-8 Bendigo Ct,CRANBOURNE,VIC,3977,739020370,"2-8 Bendigo Ct, CRANBOURNE, VIC, 3977, Australia",-38.085165,145.2831303
Only About Children Hawthorn,Centre-Based Care,140-142 Barkers Rd,HAWTHORN,VIC,3122,385295074,"140-142 Barkers Rd, HAWTHORN, VIC, 3122, Australia",-37.8140672,145.0301534
Team Holiday - St Kilda Park,Centre-Based Care,68 Fitzroy Street,ST KILDA,VIC,3182,1300035000,"68 Fitzroy Street, ST KILDA, VIC, 3182, Australia",-37.8579557,144.977463
Nido Early School Donvale,Centre-Based Care,318-320 Springvale Rd,DONVALE,VIC,3111,385939434,"318-320 Springvale Rd, DONVALE, VIC, 3111, Australia",-37.793955,145.1794728
Camp Australia - Sunshine Primary School OSHC,Centre-Based Care,Hampshire Road,SUNSHINE,VIC,3020,423795361,"Hampshire Road, SUNSHINE, VIC, 3020, Australia",-37.7957072,144.8303404
Quantin Binnah / St Martin de Porres,Centre-Based Care,13-25 Bellin Street,LAVERTON,VIC,3028,397425040,"13-25 Bellin Street, LAVERTON, VIC, 3028, Australia",-37.8539828,144.7772917
Big Childcare - Taylors Lakes PS OSHC,Centre-Based Care,Chichester Drive,TAYLORS LAKES,VIC,3038,1300273162,"Chichester Drive, TAYLORS LAKES, VIC, 3038, Australia",-37.7116658,144.7933
TeamKids - Penleigh and Essendon Grammar,Centre-Based Care,49-53 Raleigh St,ESSENDON,VIC,3040,1300035000,"49-53 Raleigh St, ESSENDON, VIC, 3040, Australia",-37.753414,144.9219564
TeamKids - South Yarra Primary,Centre-Based Care,601 Punt Road,SOUTH YARRA,VIC,3141,1300035000,"601 Punt Road, SOUTH YARRA, VIC, 3141, Australia",-37.8410902,144.9853624
TeamKids - St Michael's Grammar School,Centre-Based Care,25 Chapel Street,ST KILDA,VIC,3182,1300035000,"25 Chapel Street, ST KILDA, VIC, 3182, Australia",-37.8592112,144.9900067
Camp Australia - Essendon Primary School OSHC,Centre-Based Care,Raleigh Street,ESSENDON,VIC,3040,405776257,"Raleigh Street, ESSENDON, VIC, 3040, Australia",-37.7537732,144.9251
Preston North East PS TheirCare,Centre-Based Care,93 Tyler Street,PRESTON,VIC,3072,1300072410,"93 Tyler Street, PRESTON, VIC, 3072, Australia",-37.7333553,145.0295187
Melton OSHClub,Centre-Based Care,Unitt St,MELTON,VIC,3337,432018557,"Unitt St, MELTON, VIC, 3337, Australia",-37.6815777,144.5870431
Baden Powell P-9 College TheirCare- Tarneit Campus,Centre-Based Care,Baden Powell Drive,TARNEIT,VIC,3029,1300072410,"Baden Powell Drive, TARNEIT, VIC, 3029, Australia",-37.8413754,144.7032899
Camp Australia - St Mary's Altona Primary School OSHC,Centre-Based Care,95A Railway Street,ALTONA,VIC,3018,438052938,"95A Railway Street, ALTONA, VIC, 3018, Australia",-37.8658208,144.8284869
Doncaster Primary School-VillageOSHC,Centre-Based Care,"Doncaster Primary School, 2-12 Council St",DONCASTER,VIC,3108,1300366437,"Doncaster Primary School, 2-12 Council St, DONCASTER, VIC, 3108, Australia",-37.7861692,145.1302847
Camp Australia - Serpell Primary School OSHC,Centre-Based Care,Tuckers Road,TEMPLESTOWE,VIC,3106,424454961,"Tuckers Road, TEMPLESTOWE, VIC, 3106, Australia",-37.770318,145.1556952
Kelly Club OSHC Our Lady of the Pines Catholic Primary School,Centre-Based Care,77 Carbine Street,DONVALE,VIC,3111,401021581,"77 Carbine Street, DONVALE, VIC, 3111, Australia",-37.7745614,145.1781028
Camp Australia - Wattleview Primary School OSHC,Centre-Based Care,Wattletree Road,FERNTREE GULLY,VIC,3156,452247685,"Wattletree Road, FERNTREE GULLY, VIC, 3156, Australia",-37.8770514,145.2781789
Rangebank Primary School OSHC,Centre-Based Care,1 Lesdon Ave,CRANBOURNE,VIC,3977,423166628,"1 Lesdon Ave, CRANBOURNE, VIC, 3977, Australia",-38.0871278,145.2778759
Dandenong South Primary Kindergarten,Centre-Based Care,"Dandenong South Primary School, 52 Kirkham Rd",DANDENONG,VIC,3175,397917725,"Dandenong South Primary School, 52 Kirkham Rd, DANDENONG, VIC, 3175, Australia",-37.9979699,145.2119444
Goodstart Early Learning Melbourne - Flinders Street,Centre-Based Care,276 Flinders St,MELBOURNE,VIC,3000,03 9671 3539,"276 Flinders St, MELBOURNE, VIC, 3000, Australia",-37.8179913,144.9650732
Hope Carrum Downs,Centre-Based Care,75 Cadles Rd,CARRUM DOWNS,VIC,3201,397830050,"75 Cadles Rd, CARRUM DOWNS, VIC, 3201, Australia",-38.0950361,145.1879423
Glenroy West Kindergarten,Centre-Based Care,701 Pascoe Vale Rd,GLENROY,VIC,3046,393069365,"701 Pascoe Vale Rd, GLENROY, VIC, 3046, Australia",-37.7101111,144.9166258
Epping Views Kindergarten,Centre-Based Care,15 Lyndarum Dr,EPPING,VIC,3076,384053227,"15 Lyndarum Dr, EPPING, VIC, 3076, Australia",-37.6284217,145.0263526
Play House Family Day Care,Family Day Care,658 Plenty Rd,PRESTON,VIC,3072,390426991,"658 Plenty Rd, PRESTON, VIC, 3072, Australia",-37.7316621,145.0146463
Creative Garden Early Learning Point Cook,Centre-Based Care,25 Brookdale Rd,POINT COOK,VIC,3030,393954749,"25 Brookdale Rd, POINT COOK, VIC, 3030, Australia",-37.9110255,144.7646554
Team Holiday - Burwood,Centre-Based Care,"Wattle Park Primary School, 225 Warrigal Rd",BURWOOD,VIC,3125,1300035000,"Wattle Park Primary School, 225 Warrigal Rd, BURWOOD, VIC, 3125, Australia",-37.8427187,145.0983432
Creative Garden Early Learning Cheltenham,Centre-Based Care,266-268 Bay Rd,CHELTENHAM,VIC,3192,395980433,"266-268 Bay Rd, CHELTENHAM, VIC, 3192, Australia",-37.9568492,145.0470906
Banyan Fields Child and Family Centre,Centre-Based Care,90 Cadles Rd,CARRUM DOWNS,VIC,3201,387518837,"90 Cadles Rd, CARRUM DOWNS, VIC, 3201, Australia",-38.0948822,145.1867312
Ashwood Children's Centre,Centre-Based Care,4-8 Yooralla St,ASHWOOD,VIC,3147,398079417,"4-8 Yooralla St, ASHWOOD, VIC, 3147, Australia",-37.867841,145.1045612
Brandon Park Children's Centre,Centre-Based Care,659 Ferntree Gully Road,GLEN WAVERLEY,VIC,3150,395617852,"659 Ferntree Gully Road, GLEN WAVERLEY, VIC, 3150, Australia",-37.9037499,145.1653466
Wesley College Melbourne Glen Waverley Early Childhood Learning Centre,Centre-Based Care,620 High Street Road,GLEN WAVERLEY,VIC,3150,381026570,"620 High Street Road, GLEN WAVERLEY, VIC, 3150, Australia",-37.8722149,145.1485507
Kendall Glen Waverley Early Education Centre,Centre-Based Care,514 Highbury Road,GLEN WAVERLEY,VIC,3150,398027428,"514 Highbury Road, GLEN WAVERLEY, VIC, 3150, Australia",-37.8599974,145.1513744
Cooraminta North Kindergarten,Centre-Based Care,25 Whittaker Avenue,LAVERTON,VIC,3028,393692815,"25 Whittaker Avenue, LAVERTON, VIC, 3028, Australia",-37.8510309,144.7733419
Dr Charles Prouse Memorial Kindergarten,Centre-Based Care,5 Osterley Street,WERRIBEE,VIC,3030,387341300,"5 Osterley Street, WERRIBEE, VIC, 3030, Australia",-37.9101316,144.6589971
The Manor Kindergarten,Centre-Based Care,186 Werribee Street North,WERRIBEE,VIC,3030,397414192,"186 Werribee Street North, WERRIBEE, VIC, 3030, Australia",-37.8949876,144.6473403
Wyndham Park Kindergarten,Centre-Based Care,55 Kookaburra Avenue,WERRIBEE,VIC,3030,397416486,"55 Kookaburra Avenue, WERRIBEE, VIC, 3030, Australia",-37.8838113,144.6772863
College Road Kindergarten,Centre-Based Care,34 College Road,WERRIBEE,VIC,3030,397412128,"34 College Road, WERRIBEE, VIC, 3030, Australia",-37.904034,144.6661667
Victoria University Children's Centre - Werribee Campus,Centre-Based Care,Hoppers Lane,WERRIBEE,VIC,3030,03 9919 8098,"Hoppers Lane, WERRIBEE, VIC, 3030, Australia",-37.885996,144.7004463
Milestones Early Learning Werribee,Centre-Based Care,81 Ballan Road,WERRIBEE,VIC,3030,397422888,"81 Ballan Road, WERRIBEE, VIC, 3030, Australia",-37.8948733,144.6341299
Epping Preschool,Centre-Based Care,849 High Street,EPPING,VIC,3076,394011206,"849 High Street, EPPING, VIC, 3076, Australia",-37.6417778,145.0253344
Greenbrook Kindergarten,Centre-Based Care,31 Lowalde Drive,EPPING,VIC,3076,394013083,"31 Lowalde Drive, EPPING, VIC, 3076, Australia",-37.6499372,145.0403809
Derby Meadows Preschool Inc,Centre-Based Care,17 Winchester Avenue,EPPING,VIC,3076,394015426,"17 Winchester Avenue, EPPING, VIC, 3076, Australia",-37.6429918,145.0441672
Future Super Stars ELC Epping,Centre-Based Care,411 Dalton Rd,EPPING,VIC,3076,394011730,"411 Dalton Rd, EPPING, VIC, 3076, Australia",-37.6542079,145.0312669
Epping North Preschool,Centre-Based Care,378 Findon Road,EPPING,VIC,3076,394088000,"378 Findon Road, EPPING, VIC, 3076, Australia",-37.642988,145.0588569
Busy Bees at Epping,Centre-Based Care,20 Kalman Road,EPPING,VIC,3076,394088484,"20 Kalman Road, EPPING, VIC, 3076, Australia",-37.6499995,145.0521114
Alexandra Avenue Children's Centre,Centre-Based Care,31 Alexandra Avenue,SUNSHINE,VIC,3020,393102845,"31 Alexandra Avenue, SUNSHINE, VIC, 3020, Australia",-37.7829499,144.8382645
Barayip Primary School Kindergarten,Centre-Based Care,1 CALADENIA AV,TARNEIT,VIC,3029,1300615191,"1 CALADENIA AV, TARNEIT, VIC, 3029, Australia",-37.8333595,144.6396881
Greenvale Primary School Kindergarten,Centre-Based Care,24 BRADFORD AV,GREENVALE,VIC,3059,393061662,"24 BRADFORD AV, GREENVALE, VIC, 3059, Australia",-37.6402096,144.8868424
Atherton Gardens Kindergarten,Centre-Based Care,125 NAPIER ST,FITZROY,VIC,3065,392055100,"125 NAPIER ST, FITZROY, VIC, 3065, Australia",-37.8027162,144.9796212
Gumboots Early Learning Werribee,Centre-Based Care,93 PRINCES HWY,WERRIBEE,VIC,3030,439852749,"93 PRINCES HWY, WERRIBEE, VIC, 3030, Australia",-37.895411,144.6761997
Ashburton Early Learning,Centre-Based Care,465-467 WARRIGAL RD,ASHWOOD,VIC,3147,,"465-467 WARRIGAL RD, ASHWOOD, VIC, 3147, Australia",-37.8624657,145.0936501
Only About Children Cheltenham,Centre-Based Care,15 Herald St,CHELTENHAM,VIC,3192,385295064,"15 Herald St, CHELTENHAM, VIC, 3192, Australia",-37.9655169,145.0708762
Dandenong West Primary Kindergarten,Centre-Based Care,32 Birdwood Avenue,DANDENONG,VIC,3175,397921944,"32 Birdwood Avenue, DANDENONG, VIC, 3175, Australia",-37.9815433,145.2003445
Wallaby Childcare Harpley,Centre-Based Care,209 Black Forest Road,WERRIBEE,VIC,3030,397498687,"209 Black Forest Road, WERRIBEE, VIC, 3030, Australia",-37.9003613,144.6139339
Saltwater Promenade Kindergarten,Centre-Based Care,153 Saltwater Prom,POINT COOK,VIC,3030,383765522,"153 Saltwater Prom, POINT COOK, VIC, 3030, Australia",-37.9113148,144.7704767
Great Beginnings Epping,Centre-Based Care,6 Viewbank Ct,EPPING,VIC,3076,394014554,"6 Viewbank Ct, EPPING, VIC, 3076, Australia",-37.6481272,145.0079867
Swan Early Learning,Centre-Based Care,87-89 Ringwood St,RINGWOOD,VIC,3134,398702064,"87-89 Ringwood St, RINGWOOD, VIC, 3134, Australia",-37.8069668,145.2270036
Paisley Park Early Learning Centre Templestowe,Centre-Based Care,239 Foote St,TEMPLESTOWE,VIC,3106,1800724753,"239 Foote St, TEMPLESTOWE, VIC, 3106, Australia",-37.7599414,145.1383189
Aitken Hill PS TheirCare,Centre-Based Care,"Aitken Hill Primary School, 2 Rhyolite Dr",CRAIGIEBURN,VIC,3064,447712447,"Aitken Hill Primary School, 2 Rhyolite Dr, CRAIGIEBURN, VIC, 3064, Australia",-37.6022059,144.9063338
Elles Belles Early Learning,Centre-Based Care,1324-1328 Nepean Hwy,CHELTENHAM,VIC,3192,385210350,"1324-1328 Nepean Hwy, CHELTENHAM, VIC, 3192, Australia",-37.9680686,145.0595943
Victory Christian College TheirCare,Centre-Based Care,6 Kairn Rd,KENNINGTON,VIC,3550,1300072410,"6 Kairn Rd, KENNINGTON, VIC, 3550, Australia",-36.7833898,144.3126242
Spring Parks OSHClub - West Campus,Centre-Based Care,"west campus, 24 Erica St",SPRINGVALE,VIC,3171,455031649,"west campus, 24 Erica St, SPRINGVALE, VIC, 3171, Australia",-37.9591421,145.1402309
Glenroy Memorial Kindergarten,Centre-Based Care,3/50 Wheatsheaf road,GLENROY,VIC,3046,393069767,"3/50 Wheatsheaf road, GLENROY, VIC, 3046, Australia",-37.7067467,144.9199717
Explorers Early Learning - Croydon,Centre-Based Care,84-86 Hull Rd,CROYDON,VIC,3136,392483000,"84-86 Hull Rd, CROYDON, VIC, 3136, Australia",-37.796152,145.2934746
Kids Academy Craigieburn,Centre-Based Care,162 Elevation Bvd,CRAIGIEBURN,VIC,3064,383629760,"162 Elevation Bvd, CRAIGIEBURN, VIC, 3064, Australia",-37.59839,144.8936065
DANDELION CHILDCARE AND EARLY LEARNING CENTRE,Centre-Based Care,33 Manningham Rd,BULLEEN,VIC,3105,390857611,"33 Manningham Rd, BULLEEN, VIC, 3105, Australia",-37.7640911,145.0858493
St Francis Xavier Box Hill OSHC - Extend,Centre-Based Care,1087 Whitehorse Road,BOX HILL,VIC,3128,1300366437,"1087 Whitehorse Road, BOX HILL, VIC, 3128, Australia",-37.8177184,145.1317145
