ServiceName,ProviderLegalName,ServiceType,ServiceAddress,Suburb,State,Postcode,Phone,Address,Latitude,Longitude
TeamKids - Altona College,TEAM HOLIDAY PTY LTD,Centre-Based Care,103A GRIEVE PDE,ALTONA,VIC,3018,1300035000,"103A GRIEVE PDE, ALTONA, VIC, 3018, Australia",-37.861721,144.8172341
Aspire Early Education & Kindergarten Mambourin,ASPIRE EARLY EDUCATION and KINDERGARTEN MAMBOURIN PTY LTD,Centre-Based Care,18 RESIN ST,MAMBOURIN,VIC,3024,1800978429,"18 RESIN ST, MAMBOURIN, VIC, 3024, Australia",-37.897534,144.5966229
Banmira Care,Banmira Specialist School Council,Centre-Based Care,"VERNEY ROAD SCHOOL, 2 VERNEY RD",SHEPPARTON,VIC,3630,358218185,"VERNEY ROAD SCHOOL, 2 VERNEY RD, SHEPPARTON, VIC, 3630, Australia",-36.3676981,145.4149163
Emerald PS TheirCare,TheirCare Pty Ltd,Centre-Based Care,"EMERALD PRIMARY SCHOOL, 4-10 HEROES AV",EMERALD,VIC,3782,1300072410,"EMERALD PRIMARY SCHOOL, 4-10 HEROES AV, EMERALD, VIC, 3782, Australia",-37.9337659,145.4423595
Junction Village Early Education,Junction Village Early Education PTY LTD as trustee for Junction Village Trust,Centre-Based Care,1650 SOUTH GIPPSLAND HWY,JUNCTION VILLAGE,VIC,3977,,"1650 SOUTH GIPPSLAND HWY, JUNCTION VILLAGE, VIC, 3977, Australia",-38.1331175,145.2954784
Tootgarook Kindergarten,Community Kinders Plus Inc.,Centre-Based Care,10 BURDETT ST,TOOTGAROOK,VIC,3941,359246131,"10 BURDETT ST, TOOTGAROOK, VIC, 3941, Australia",-38.3693258,144.8598462
Shine Bright Wetlands Drive Kindergarten,SHINE BRIGHT EYM,Centre-Based Care,12 WETLANDS DR,MILDURA,VIC,3500,340387888,"12 WETLANDS DR, MILDURA, VIC, 3500, Australia",-34.211956,142.1247766
Shine Bright Echuca Primary Kindergarten,SHINE BRIGHT EYM,Centre-Based Care,297 ANSTRUTHER ST,ECHUCA,VIC,3564,344391888,"297 ANSTRUTHER ST, ECHUCA, VIC, 3564, Australia",-36.1256213,144.7549098
Bluebird Early Education Cranbourne West,Loxiva Pty Ltd,Centre-Based Care,142 CENTRAL PWY,CRANBOURNE WEST,VIC,3977,359292925,"142 CENTRAL PWY, CRANBOURNE WEST, VIC, 3977, Australia",-38.093418,145.2497137
Gippsland Lakes Early Learning Centre,Gippsland Lakes Complete Health Limited,Centre-Based Care,44 CARPENTER ST,LAKES ENTRANCE,VIC,3909,438114031,"44 CARPENTER ST, LAKES ENTRANCE, VIC, 3909, Australia",-37.8727334,147.9922344
Topirum Primary School Kindergarten,Early Childhood Management Services Inc,Centre-Based Care,451 HARDYS RD,CLYDE NORTH,VIC,3978,1300615191,"451 HARDYS RD, CLYDE NORTH, VIC, 3978, Australia",-38.1083335,145.3842345
Darebin Creek Kindergarten,Early Childhood Management Services Inc,Centre-Based Care,225 Flinders St,THORNBURY,VIC,3071,1300615191,"225 Flinders St, THORNBURY, VIC, 3071, Australia",-37.7562535,145.0073399
Barayip Primary School Kindergarten,Early Childhood Management Services Inc,Centre-Based Care,1 CALADENIA AV,TARNEIT,VIC,3029,1300615191,"1 CALADENIA AV, TARNEIT, VIC, 3029, Australia",-37.8333595,144.6396881
Shine Bright Spring Gully Kindergarten,SHINE BRIGHT EYM,Centre-Based Care,113 Spring Gully Road,SPRING GULLY,VIC,3550,354435980,"113 Spring Gully Road, SPRING GULLY, VIC, 3550, Australia",-36.7956436,144.2853483
Helen Jessen Early Learning Centre,Greater Bendigo City Council,Centre-Based Care,145 Crook Street,BENDIGO,VIC,3550,354435868,"145 Crook Street, BENDIGO, VIC, 3550, Australia",-36.7627998,144.3142049
Shine Bright Axedale Kindergarten,SHINE BRIGHT EYM,Centre-Based Care,High St,AXEDALE,VIC,3551,354397549,"High St, AXEDALE, VIC, 3551, Australia",-36.7890725,144.505329
Albion Kindergarten,Brimbank Preschool Association Inc,Centre-Based Care,33 Derrimut Street,ALBION,VIC,3020,(03) 9311 3375,"33 Derrimut Street, ALBION, VIC, 3020, Australia",-37.7783643,144.8204102
Phoenix Street Children's Centre,Brimbank Preschool Association Inc,Centre-Based Care,80 Phoenix Street,SUNSHINE NORTH,VIC,3020,03 9310 2929,"80 Phoenix Street, SUNSHINE NORTH, VIC, 3020, Australia",-37.7758729,144.8347337
Welwyn Uniting Kindergarten,UNITING (VICTORIA AND TASMANIA) LIMITED,Centre-Based Care,44 Welwyn Parade,DEER PARK,VIC,3023,393631939,"44 Welwyn Parade, DEER PARK, VIC, 3023, Australia",-37.7604839,144.773101
Maribyrnong Kindergarten,Maribyrnong Kindergarten Inc,Centre-Based Care,5 Warrs Road,MARIBYRNONG,VIC,3032,393179083,"5 Warrs Road, MARIBYRNONG, VIC, 3032, Australia",-37.7696156,144.8925717
Southwold Street Kindergarten,Brimbank Preschool Association Inc,Centre-Based Care,14 A Southwold Street,ST ALBANS,VIC,3021,393661523,"14 A Southwold Street, ST ALBANS, VIC, 3021, Australia",-37.747362,144.8101954
East Sunshine Kindergarten,Brimbank Preschool Association Inc,Centre-Based Care,Lowe Crescent,SUNSHINE,VIC,3020,393114712,"Lowe Crescent, SUNSHINE, VIC, 3020, Australia",-37.787054,144.8445453
Sunshine Heights Kindergarten,Brimbank Preschool Association Inc,Centre-Based Care,Glengala Road,SUNSHINE,VIC,3020,393114966,"Glengala Road, SUNSHINE, VIC, 3020, Australia",-37.7879173,144.8263655
Dorothy Carlton Preschool,Brimbank Preschool Association Inc,Centre-Based Care,47 Furlong Road,SUNSHINE NORTH,VIC,3020,393117613,"47 Furlong Road, SUNSHINE NORTH, VIC, 3020, Australia",-37.7621192,144.8268445
South Sunshine Kindergarten,Brimbank Preschool Association Inc,Centre-Based Care,31 Ardoyne Street,SUNSHINE,VIC,3020,393114348,"31 Ardoyne Street, SUNSHINE, VIC, 3020, Australia",-37.7987225,144.8250124
North Maidstone Kindergarten,Brimbank Preschool Association Inc,Centre-Based Care,145 Mitchell Street,MAIDSTONE,VIC,3012,393123698,"145 Mitchell Street, MAIDSTONE, VIC, 3012, Australia",-37.7821453,144.8732492
Willis Street Kindergarten,Brimbank Preschool Association Inc,Centre-Based Care,10-12 Willis St,ST ALBANS,VIC,3021,393668632,"10-12 Willis St, ST ALBANS, VIC, 3021, Australia",-37.7521318,144.8043535
Fairbairn Road Kindergarten,Brimbank Preschool Association Inc,Centre-Based Care,26-30 Fairbairn Road,SUNSHINE WEST,VIC,3020,393122630,"26-30 Fairbairn Road, SUNSHINE WEST, VIC, 3020, Australia",-37.807077,144.8184564
Albanvale Community Kindergarten,Brimbank Preschool Association Inc,Centre-Based Care,44 Diamond Avenue,ST ALBANS,VIC,3021,393662376,"44 Diamond Avenue, ST ALBANS, VIC, 3021, Australia",,
Deer Park West Kindergarten,Early Childhood Management Services Inc,Centre-Based Care,Adeline Court,DEER PARK,VIC,3023,393633488,"Adeline Court, DEER PARK, VIC, 3023, Australia",-37.7726215,144.7642103
Aycliffe Drive Kindergarten,Brimbank Preschool Association Inc,Centre-Based Care,5 Aycliffe Drive,DEER PARK,VIC,3023,393636574,"5 Aycliffe Drive, DEER PARK, VIC, 3023, Australia",-37.7526403,144.7625795
Cherry Crescent Preschool,Cherry Crescent Preschool Inc,Centre-Based Care,Cherry Cres,BRAYBROOK,VIC,3019,03 9311 2207,"Cherry Cres, BRAYBROOK, VIC, 3019, Australia",-37.784298,144.8577157
Epalock Crescent Kindergarten,Brimbank Preschool Association Inc,Centre-Based Care,15 Epalock Crescent,ST ALBANS,VIC,3021,393671562,"15 Epalock Crescent, ST ALBANS, VIC, 3021, Australia",-37.7609132,144.8058442
Kellie O'Connell Kindergarten,Brimbank Preschool Association Inc,Centre-Based Care,125 Ridgeway Parade,ARDEER,VIC,3022,393637774,"125 Ridgeway Parade, ARDEER, VIC, 3022, Australia",,
Orama Street Child Care Centre,Brimbank Preschool Association Inc,Centre-Based Care,24 Orama Street,DEER PARK,VIC,3023,03 9363 5918,"24 Orama Street, DEER PARK, VIC, 3023, Australia",-37.7680694,144.7651699
Killeen Street Child Care Centre,Killeen Street Child Care Centre Inc,Centre-Based Care,23 Killeen Street,SUNSHINE,VIC,3020,03 9364 8541,"23 Killeen Street, SUNSHINE, VIC, 3020, Australia",-37.7972716,144.8192526
Anderson Road Child Care Centre,AYAD & SONS PTY LTD ATF The Trustee for AYAD FAMILY TRUST,Centre-Based Care,145 Anderson Road,ALBION,VIC,3020,393126407,"145 Anderson Road, ALBION, VIC, 3020, Australia",-37.7827428,144.826985
Little VIP's,Benefit Court Pty Ltd,Centre-Based Care,36 Burns Street,MAIDSTONE,VIC,3012,393177970,"36 Burns Street, MAIDSTONE, VIC, 3012, Australia",-37.7868791,144.8744884
Shine Bright Swan Hill South Kindergarten,SHINE BRIGHT EYM,Centre-Based Care,5 Willick Street,SWAN HILL,VIC,3585,350324333,"5 Willick Street, SWAN HILL, VIC, 3585, Australia",-35.3460257,143.549728
Shine Bright Pye Street Kindergarten,SHINE BRIGHT EYM,Centre-Based Care,64 Pye Street,SWAN HILL,VIC,3585,350322788,"64 Pye Street, SWAN HILL, VIC, 3585, Australia",-35.334644,143.5461593
Swan Hill Early Learning,Swan Hill Child Care Co-op,Centre-Based Care,2-4 Logan Street,SWAN HILL,VIC,3585,350321328,"2-4 Logan Street, SWAN HILL, VIC, 3585, Australia",-35.338572,143.5454644
Manangatang & District Preschool,Mallee Track Health and Community Service,Centre-Based Care,Robinvale-Sea Lake Road,MANANGATANG,VIC,3546,350351368,"Robinvale-Sea Lake Road, MANANGATANG, VIC, 3546, Australia",-35.0075007,142.8703637
Shine Bright Nyah West Kindergarten,SHINE BRIGHT EYM,Centre-Based Care,Lloyd St,NYAH WEST,VIC,3595,350302204,"Lloyd St, NYAH WEST, VIC, 3595, Australia",-35.1864103,143.3448586
Shine Bright Woorinen South Kindergarten,SHINE BRIGHT EYM,Centre-Based Care,McCalman Street,WOORINEN SOUTH,VIC,3588,350376741,"McCalman Street, WOORINEN SOUTH, VIC, 3588, Australia",-35.2917118,143.451983
Talbot Kindergarten,Young Mens Christian Association Of Ballarat Inc,Centre-Based Care,2 Fyffe Street,TALBOT,VIC,3371,343290482,"2 Fyffe Street, TALBOT, VIC, 3371, Australia",-37.1713534,143.7031174
Clunes & District Preschool Centre,Eureka Community Kindergarten Association Inc,Centre-Based Care,109 Fraser St,CLUNES,VIC,3370,03 5345 3228,"109 Fraser St, CLUNES, VIC, 3370, Australia",-37.292142,143.7837573
Bellbridge Early Years Learning Centre,Towong Shire Council,Centre-Based Care,18-20 Craig Drive,BELLBRIDGE,VIC,3691,260264373,"18-20 Craig Drive, BELLBRIDGE, VIC, 3691, Australia",-36.1000781,147.0612782
Bruthen Uniting Kindergarten,UNITING (VICTORIA AND TASMANIA) LIMITED,Centre-Based Care,12 Seehusen Ave,BRUTHEN,VIC,3885,351575455,"12 Seehusen Ave, BRUTHEN, VIC, 3885, Australia",-37.7056572,147.8319812
Lakes Entrance Preschool,Young Mens Christian Association Of Ballarat Inc,Centre-Based Care,49A Coates Road,LAKES ENTRANCE,VIC,3909,343111549,"49A Coates Road, LAKES ENTRANCE, VIC, 3909, Australia",-37.8734898,148.0029157
Swan Reach & District Kindergarten,Young Mens Christian Association Of Ballarat Inc,Centre-Based Care,30A Duffy Street,SWAN REACH,VIC,3903,343111587,"30A Duffy Street, SWAN REACH, VIC, 3903, Australia",-37.8235956,147.8592803
Cumberland Park Kindergarten,Latrobe City Council,Centre-Based Care,89-93 Kosciuszko St,TRARALGON,VIC,3844,351763347,"89-93 Kosciuszko St, TRARALGON, VIC, 3844, Australia",-38.1961392,146.5154046
Pax Hill Kindergarten,Latrobe City Council,Centre-Based Care,40 Barkers Crescent,TRARALGON,VIC,3844,351763346,"40 Barkers Crescent, TRARALGON, VIC, 3844, Australia",,
Sara Court Kindergarten,Latrobe City Council,Centre-Based Care,5 Sara Court,TRARALGON,VIC,3844,351763350,"5 Sara Court, TRARALGON, VIC, 3844, Australia",-38.2041215,146.5253887
Kay Street Kindergarten,Latrobe City Council,Centre-Based Care,61 Kay Street,TRARALGON,VIC,3844,351763348,"61 Kay Street, TRARALGON, VIC, 3844, Australia",-38.1939814,146.5246537
Cameron Street Kindergarten,Latrobe City Council,Centre-Based Care,41-43 Cameron Street,TRARALGON,VIC,3844,351763349,"41-43 Cameron Street, TRARALGON, VIC, 3844, Australia",-38.2071121,146.5559444
Parklane Kindergarten,Latrobe City Council,Centre-Based Care,2 Smith Street,TRARALGON,VIC,3844,351763345,"2 Smith Street, TRARALGON, VIC, 3844, Australia",-38.186286,146.5529715
Corryong Preschool,Towong Shire Council,Centre-Based Care,47 Harris St,CORRYONG,VIC,3707,260762160,"47 Harris St, CORRYONG, VIC, 3707, Australia",-36.195124,147.9034808
Warburton Preschool,Yarra Ranges Kindergartens Inc.,Centre-Based Care,Riverside Drive,WARBURTON,VIC,3799,359662317,"Riverside Drive, WARBURTON, VIC, 3799, Australia",-37.7535877,145.7009668
All Saints Preschool Yarra Junction Inc,All Saints Preschool Yarra Junction Inc,Centre-Based Care,2438 Warburton Hwy,YARRA JUNCTION,VIC,3797,359671117,"2438 Warburton Hwy, YARRA JUNCTION, VIC, 3797, Australia",-37.781972,145.6109684
Woori Yallock Kindergarten,Yarra Ranges Kindergartens Inc.,Centre-Based Care,Symes Road,WOORI YALLOCK,VIC,3139,359647498,"Symes Road, WOORI YALLOCK, VIC, 3139, Australia",-37.7754722,145.5269944
Launching Place Preschool,Yarra Ranges Kindergartens Inc.,Centre-Based Care,Mathers Avenue,LAUNCHING PLACE,VIC,3139,359646088,"Mathers Avenue, LAUNCHING PLACE, VIC, 3139, Australia",-37.7819036,145.5646433
Songbird Early Learning Centre,JENMAX KINDERHAUS PTY. LTD.,Centre-Based Care,4 Station Street,YARRA JUNCTION,VIC,3797,359006724,"4 Station Street, YARRA JUNCTION, VIC, 3797, Australia",-37.7823294,145.6086522
Little Yarra Steiner Kindergarten,Little Yarra Steiner School Limited,Centre-Based Care,205 Little Yarra Road,YARRA JUNCTION,VIC,3797,359671953,"205 Little Yarra Road, YARRA JUNCTION, VIC, 3797, Australia",-37.7931176,145.6313743
Cire Children's Centre Yarra Junction,CIRE SERVICES INCORPORATED,Centre-Based Care,41 Little Yarra Road,YARRA JUNCTION,VIC,3797,359672776,"41 Little Yarra Road, YARRA JUNCTION, VIC, 3797, Australia",-37.7861991,145.6180072
Millgrove Preschool & Maternal Child Health Centre,Yarra Ranges Kindergartens Inc.,Centre-Based Care,Cavanagh Road,MILLGROVE,VIC,3799,359665426,"Cavanagh Road, MILLGROVE, VIC, 3799, Australia",-37.7525093,145.6502096
Ouyen Preschool,Mallee Track Health and Community Service,Centre-Based Care,78 Oke Street,OUYEN,VIC,3490,350921347,"78 Oke Street, OUYEN, VIC, 3490, Australia",-35.0687612,142.314621
Christopher Robin Kindergarten,North East Regional Preschool Association Incorporated,Centre-Based Care,1a Ely St,WANGARATTA,VIC,3677,357214236,"1a Ely St, WANGARATTA, VIC, 3677, Australia",-36.358375,146.3261259
Coronation Kindergarten,North East Regional Preschool Association Incorporated,Centre-Based Care,Roy Street,WANGARATTA,VIC,3677,357213797,"Roy Street, WANGARATTA, VIC, 3677, Australia",-36.3568157,146.3101436
James Tilson Kindergarten,North East Regional Preschool Association Incorporated,Centre-Based Care,"Unit 58, 60 Burke St",WANGARATTA,VIC,3677,357212319,"Unit 58, 60 Burke St, WANGARATTA, VIC, 3677, Australia",,
Appin Park Kindergarten,North East Regional Preschool Association Incorporated,Centre-Based Care,"Appin Park Maternal and Child Health Centre, 69a Appin St",WANGARATTA,VIC,3677,357216015,"Appin Park Maternal and Child Health Centre, 69a Appin St, WANGARATTA, VIC, 3677, Australia",,
Wangaratta West Kindergarten,North East Regional Preschool Association Incorporated,Centre-Based Care,Cnr Victory St & Orkney St,WANGARATTA,VIC,3677,357216017,"Cnr Victory St & Orkney St, WANGARATTA, VIC, 3677, Australia",,
Coleraine & District Kindergarten,The Combined Preschools of Southern Grampians Inc,Centre-Based Care,26 Henty Street,COLERAINE,VIC,3315,355752359,"26 Henty Street, COLERAINE, VIC, 3315, Australia",-37.6002952,141.6935588
Rushworth Kindergarten & Child Care,Rushworth Kindergarten & Child Care Inc,Centre-Based Care,32 Esmonde Street,RUSHWORTH,VIC,3612,358561591,"32 Esmonde Street, RUSHWORTH, VIC, 3612, Australia",-36.5878185,145.0156653
Murchison Kindergarten and Early Childhood Service,Goulburn Region Preschool Association Inc,Centre-Based Care,Watson Street,MURCHISON,VIC,3610,358262485,"Watson Street, MURCHISON, VIC, 3610, Australia",-36.619674,145.2190667
Shine Bright Stanhope Kindergarten,SHINE BRIGHT EYM,Centre-Based Care,1 Godley Place,STANHOPE,VIC,3623,358572297,"1 Godley Place, STANHOPE, VIC, 3623, Australia",-36.4465714,144.9845765
Colbinabbin Preschool,Goulburn Region Preschool Association Inc,Centre-Based Care,Recreation Reserve,COLBINABBIN,VIC,3559,429101511,"Recreation Reserve, COLBINABBIN, VIC, 3559, Australia",,
Warragul Community Kindergarten,Young Mens Christian Association Of Ballarat Inc,Centre-Based Care,1 Mouritz Street,WARRAGUL,VIC,3820,343111588,"1 Mouritz Street, WARRAGUL, VIC, 3820, Australia",-38.1611468,145.9459318
Grace Berglund Kindergarten,Young Mens Christian Association Of Ballarat Inc,Centre-Based Care,12 George Street,WARRAGUL,VIC,3820,343111572,"12 George Street, WARRAGUL, VIC, 3820, Australia",-38.159191,145.9374315
Dennington & District Preschool Centre,Warrnambool City Council,Centre-Based Care,"Dennington Pre School, 12-16 The Esplanade",DENNINGTON,VIC,3280,355594575,"Dennington Pre School, 12-16 The Esplanade, DENNINGTON, VIC, 3280, Australia",,
Beamish Street Kindergarten,Warrnambool City Council,Centre-Based Care,23 Beamish Street,WARRNAMBOOL,VIC,3280,355594530,"23 Beamish Street, WARRNAMBOOL, VIC, 3280, Australia",-38.3635553,142.4683621
Central Kindergarten - Warrnambool,Warrnambool City Council,Centre-Based Care,Manifold Street,WARRNAMBOOL,VIC,3280,355594560,"Manifold Street, WARRNAMBOOL, VIC, 3280, Australia",-38.3787048,142.4857943
Lions Hopkins Kindergarten,Warrnambool City Council,Centre-Based Care,31 Gladstone Street,WARRNAMBOOL,VIC,3280,355594580,"31 Gladstone Street, WARRNAMBOOL, VIC, 3280, Australia",-38.3930799,142.504738
Warrnambool East Kindergarten,Warrnambool City Council,Centre-Based Care,20A Lava Street,WARRNAMBOOL,VIC,3280,355594570,"20A Lava Street, WARRNAMBOOL, VIC, 3280, Australia",-38.3779748,142.4764469
Warrnambool South Kindergarten,Warrnambool City Council,Centre-Based Care,24 Stanley Street,WARRNAMBOOL,VIC,3280,355594520,"24 Stanley Street, WARRNAMBOOL, VIC, 3280, Australia",-38.3953833,142.4710656
Sherwood Park Early Learning Centre,Warrnambool City Council,Centre-Based Care,Princes Highway,WARRNAMBOOL,VIC,3280,03 5559 4595,"Princes Highway, WARRNAMBOOL, VIC, 3280, Australia",-38.3850018,142.5363031
Matron Swinton Early Learning Centre,Warrnambool City Council,Centre-Based Care,Lipook Court,WARRNAMBOOL,VIC,3280,03 5559 4650,"Lipook Court, WARRNAMBOOL, VIC, 3280, Australia",-38.3699553,142.4643693
Allansford & District Preschool,Warrnambool City Council,Centre-Based Care,82 Ziegler Parade,ALLANSFORD,VIC,3277,355594585,"82 Ziegler Parade, ALLANSFORD, VIC, 3277, Australia",-38.3859638,142.598193
Merri Kindergarten,Moyne Shire Council,Centre-Based Care,1126 Hopkins Highway,PURNIM WEST,VIC,3279,355654380,"1126 Hopkins Highway, PURNIM WEST, VIC, 3279, Australia",-38.3016355,142.5578081
Kings College Preschool,Warrnambool Presbyterian School Ltd,Centre-Based Care,44 Balmoral Road,WARRNAMBOOL,VIC,3280,355620147,"44 Balmoral Road, WARRNAMBOOL, VIC, 3280, Australia",-38.3628636,142.5076905
Ashwood Memorial Kindergarten,Young Mens Christian Association Of Ballarat Inc,Centre-Based Care,17A Arthur Street,ASHWOOD,VIC,3147,343290422,"17A Arthur Street, ASHWOOD, VIC, 3147, Australia",-37.8600555,145.1071368
Appletree Hill Kindergarten,Appletree Preschool Assoc Inc,Centre-Based Care,37 Shepherd Road,GLEN WAVERLEY,VIC,3150,03 9560 2940,"37 Shepherd Road, GLEN WAVERLEY, VIC, 3150, Australia",-37.8836855,145.1828998
Brentwood Kindergarten,Brentwood Preschool Association Inc,Centre-Based Care,60 View Mount Road,GLEN WAVERLEY,VIC,3150,395602735,"60 View Mount Road, GLEN WAVERLEY, VIC, 3150, Australia",-37.8974341,145.1751742
Highvale Kindergarten,Highvale Preschool Association Inc,Centre-Based Care,56 Campbell Street,GLEN WAVERLEY,VIC,3150,398031652,"56 Campbell Street, GLEN WAVERLEY, VIC, 3150, Australia",-37.8699256,145.1758307
Tally Ho Kindergarten,Young Mens Christian Association Of Ballarat Inc,Centre-Based Care,24 Martin Place,GLEN WAVERLEY,VIC,3150,343290450,"24 Martin Place, GLEN WAVERLEY, VIC, 3150, Australia",-37.8690051,145.1642367
Wayburne Kindergarten,Young Mens Christian Association Of Ballarat Inc,Centre-Based Care,579 Waverley Road,GLEN WAVERLEY,VIC,3150,343290455,"579 Waverley Road, GLEN WAVERLEY, VIC, 3150, Australia",-37.8873326,145.1522841
Syndal Kindergarten,Syndal Preschool Association Inc,Centre-Based Care,2 Matthew Street,GLEN WAVERLEY,VIC,3150,398028035,"2 Matthew Street, GLEN WAVERLEY, VIC, 3150, Australia",-37.874126,145.1488469
Glendal Kindergarten,Young Mens Christian Association Of Ballarat Inc,Centre-Based Care,3 Lucerne Street,MOUNT WAVERLEY,VIC,3149,343290436,"3 Lucerne Street, MOUNT WAVERLEY, VIC, 3149, Australia",-37.8609349,145.1498728
Highmount Kindergarten,HIGHMOUNT PRE SCHOOL ASSOCIATION INCORPORATED,Centre-Based Care,36 Lechte Road,MOUNT WAVERLEY,VIC,3149,398022812,"36 Lechte Road, MOUNT WAVERLEY, VIC, 3149, Australia",-37.8698301,145.1347369
Mt Waverley Kindergarten,Young Mens Christian Association Of Ballarat Inc,Centre-Based Care,35 Sherwood Road,MOUNT WAVERLEY,VIC,3149,343290442,"35 Sherwood Road, MOUNT WAVERLEY, VIC, 3149, Australia",-37.8789784,145.1275174
Pinewood Kindergarten,Pinewood Preschool Centre Inc,Centre-Based Care,13 Pinewood Drive,MOUNT WAVERLEY,VIC,3149,398025961,"13 Pinewood Drive, MOUNT WAVERLEY, VIC, 3149, Australia",-37.8892404,145.1404942
St Luke's Uniting Kindergarten Mt Waverley,UNITING (VICTORIA AND TASMANIA) LIMITED,Centre-Based Care,94 Essex Road,MOUNT WAVERLEY,VIC,3149,398079710,"94 Essex Road, MOUNT WAVERLEY, VIC, 3149, Australia",-37.8638459,145.123441
Brandon Park Kindergarten,Young Mens Christian Association Of Ballarat Inc,Centre-Based Care,7 Collegium Avenue,WHEELERS HILL,VIC,3150,343290425,"7 Collegium Avenue, WHEELERS HILL, VIC, 3150, Australia",-37.9047951,145.1647512
Mulgrave Park Kindergarten,Young Mens Christian Association Of Ballarat Inc,Centre-Based Care,68 Albany Drive,MULGRAVE,VIC,3170,343290443,"68 Albany Drive, MULGRAVE, VIC, 3170, Australia",-37.9276333,145.1729045
Wellington Kindergarten,Wellington Preschool Inc,Centre-Based Care,53 Shaftsbury Drive,MULGRAVE,VIC,3170,03 9560 6106,"53 Shaftsbury Drive, MULGRAVE, VIC, 3170, Australia",-37.9211656,145.16787
Waverley Meadows Preschool,Waverley Meadows Preschool Association Inc,Centre-Based Care,6 Farnham Avenue,WHEELERS HILL,VIC,3150,395602791,"6 Farnham Avenue, WHEELERS HILL, VIC, 3150, Australia",-37.9124051,145.174496
Nara Kindergarten,Young Mens Christian Association Of Ballarat Inc,Centre-Based Care,2 Stanley Avenue,MOUNT WAVERLEY,VIC,3149,343290444,"2 Stanley Avenue, MOUNT WAVERLEY, VIC, 3149, Australia",-37.8888632,145.115819
Legend Park Kindergarten,Young Mens Christian Association Of Ballarat Inc,Centre-Based Care,56 King Arthur Drive,GLEN WAVERLEY,VIC,3150,343290440,"56 King Arthur Drive, GLEN WAVERLEY, VIC, 3150, Australia",-37.8684627,145.1879698
Columbia Park Pre-school,Young Mens Christian Association Of Ballarat Inc,Centre-Based Care,26-28 Columbia Dr,WHEELERS HILL,VIC,3150,343290428,"26-28 Columbia Dr, WHEELERS HILL, VIC, 3150, Australia",-37.9153964,145.1845928
Jells Park Kindergarten Association Incorporated,Jells Park Kindergarten Association Incorporated,Centre-Based Care,37 Petronella Avenue,WHEELERS HILL,VIC,3150,395608035,"37 Petronella Avenue, WHEELERS HILL, VIC, 3150, Australia",-37.903358,145.1939088
Columbia Park Early Learning Centre Inc,Columbia Park Early Learning Centre Inc,Centre-Based Care,28A Columbia Drive,WHEELERS HILL,VIC,3150,395608636,"28A Columbia Drive, WHEELERS HILL, VIC, 3150, Australia",-37.9172848,145.1841445
Charming Cherubs Early Learning Centre,M & A CO. PTY LTD,Centre-Based Care,39 Anora Crescent,MULGRAVE,VIC,3170,03 9560 3170,"39 Anora Crescent, MULGRAVE, VIC, 3170, Australia",-37.9218071,145.1734777
Syndal Child Care & Early Learning Centre,MARI EARLY LEARNING CENTRE PTY LTD,Centre-Based Care,6 Huxtable Street,SYNDAL,VIC,3149,398027453,"6 Huxtable Street, SYNDAL, VIC, 3149, Australia",,
Ashwood Children's Centre,Ashwood Children's Centre Inc.,Centre-Based Care,4-8 Yooralla St,ASHWOOD,VIC,3147,398079417,"4-8 Yooralla St, ASHWOOD, VIC, 3147, Australia",-37.867841,145.1045612
Haileybury City Early Learning Centre,Haileybury,Centre-Based Care,383  King Street,WEST MELBOURNE,VIC,3003,399046008,"383  King Street, WEST MELBOURNE, VIC, 3003, Australia",-37.8110897,144.9529136
Happy Childcare & Early Learning Centre,VJ SERVICES AUSTRALIA PTY. LTD. ATF JOSHI FAMILY TRUST,Centre-Based Care,44 Station Rd,MELTON SOUTH,VIC,3338,397472120,"44 Station Rd, MELTON SOUTH, VIC, 3338, Australia",-37.6987804,144.5761035
Jetty Road Childcare and Kindergarten,M & R Peninsula Pty Ltd ATF M & R Peninsula Trust,Centre-Based Care,264 Jetty Rd,ROSEBUD,VIC,3939,359811666,"264 Jetty Rd, ROSEBUD, VIC, 3939, Australia",-38.3755483,144.9081772
Terang Children's Centre,Corangamite Shire Council,Centre-Based Care,62 Dow Street,TERANG,VIC,3264,355921383,"62 Dow Street, TERANG, VIC, 3264, Australia",-38.2478846,142.9234054
Team Holiday - Manifold Heights,TEAM HOLIDAY PTY LTD,Centre-Based Care,20-24 Strachan Ave,MANIFOLD HEIGHTS,VIC,3218,1300035000,"20-24 Strachan Ave, MANIFOLD HEIGHTS, VIC, 3218, Australia",-38.1359343,144.3337485
KindyTown Endeavour Hills Early Learning Centre,C&H Associate PTY LTD,Centre-Based Care,136-138 Gleneagles Dr,ENDEAVOUR HILLS,VIC,3802,397000410,"136-138 Gleneagles Dr, ENDEAVOUR HILLS, VIC, 3802, Australia",-37.9694217,145.2796471
Windermere OSHC St John's,WINDERMERE CHILD & FAMILY SERVICES INC,Centre-Based Care,172-180 Station St,KOO WEE RUP,VIC,3981,,"172-180 Station St, KOO WEE RUP, VIC, 3981, Australia",-38.1968273,145.4848437
Evoke Early Learning Clayton,MCT5 Pty Ltd,Centre-Based Care,1692 Dandenong Road,OAKLEIGH EAST,VIC,3166,395456060,"1692 Dandenong Road, OAKLEIGH EAST, VIC, 3166, Australia",-37.9110718,145.1208636
