Species,Common name(s),Certain,Beach and Dunes,Saltmarsh,Coastal marshlands and brackish flats,Swamp scrub,Woodlands and heathlands on sand,"Woodlands and forests on sedimentary hills, valleys and ridges",Grasslands and Woodlands on fertile plains,Cliffs and escarpments,River banks and creeklines,Wet heathland,Freshwater wetland,Saltwater wetland,Most likely occurrence,EPBC Category of threat,FFG Extinction Risk,FFG Category of Threat
Gompholobium huegelii,"Common Wedge-pea, Karalla",,0.0,0.0,0.0,0.0,2.1,2.1,0.0,0.0,0.0,0.0,0.0,0,2.1,,,
Goodenia blackiana,Black’s Goodenia,,0.0,0.0,0.0,0.0,0.0,2.1,0.0,0.0,0.0,0.0,0.0,0,2.1,,,
Goodenia elongata,Lanky Goodenia,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1.0,,,
Goodenia ovata,Hop Goodenia,1,1.0,0.0,1.0,2.1,2.1,1.0,0.0,2.1,3.2,2.1,0.0,0,3.2,,,
Goodenia pinnatifida,"Cut-leaf Goodenia, Mother Ducks, Scrambled Eggs",1,0.0,0.0,0.0,0.0,0.0,0.0,3.1,0.0,0.0,0.0,0.0,0,3.1,,,
Goodia lotifolia,"Golden-tip, Clover Tree",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,1.0,,,
Goodia medicaginea,Western Golden-tip,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,1.0,,Victoria,Endangered
Gratiola peruviana,Austral Brooklime,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,0,3.1,,,
Grevillea ilicifolia subsp. ilicifolia,"Holly Grevillea, Kite-leaf Grevillea",,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,,,
Grevillea sp. aff. rosmarinifolia,"Latrobe’s Grevillea, (Rosemary Grevillea)",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,1.0,,,
Hakea ulicina,Furze Hakea,,0.0,0.0,0.0,0.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0,2.1,,,
Hardenbergia violacea,"Purple Coral Pea, False Sarsparilla",1,0.0,0.0,0.0,0.0,2.1,3.1,0.0,2.1,1.0,0.0,0.0,0,3.1,,,
Hemarthria uncinata var. uncinata,Mat Grass,,0.0,0.0,0.0,1.0,1.0,1.0,2.1,0.0,1.0,2.1,2.1,0,2.1,,,
Hibbertia sericea var. sericea,Silky Guinea-flower,,0.0,0.0,0.0,0.0,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0,3.1,,,
Hovea heterophylla,"Common Hovea, Blue Bonnet, Bird's Eye",,0.0,0.0,0.0,0.0,2.1,3.1,0.0,0.0,0.0,0.0,0.0,0,3.1,,,
Hydrocotyle foveolata,Yellow Pennywort,,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1.0,,,
Hydrocotyle muscosa,Mossy Pennywort,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1.0,,,
Hydrocotyle tripartita,Slender Pennywort,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.1,0.0,1.0,0,2.1,,,
Hydrocotyle verticillata,"Common Pennywort, Shield Pennywort",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,1.0,,,
Acacia mucronata var. longifolia,"Narrow-leaf Wattle, Variable Sallow Wattle",,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1.0,,,
Acacia pycnantha,Golden Wattle,1,0.0,0.0,0.0,1.0,2.1,3.2,3.1,2.1,2.1,0.0,0.0,0,3.2,,,
Acacia verticillata var. verticillata,Prickly Moses,,0.0,0.0,0.0,3.1,3.1,0.0,0.0,0.0,3.1,1.0,0.0,0,3.1,,,
Acaena echinata,Sheep's Burr,1,0.0,0.0,0.0,0.0,1.0,3.1,3.1,3.1,2.1,0.0,0.0,0,3.1,,,
Acrotriche prostrata,Trailing Ground-Berry,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1.0,,,
Acrotriche serrulata,Honey Pots,,0.0,0.0,0.0,0.0,3.1,3.1,0.0,0.0,0.0,0.0,0.0,0,3.1,,,
Actites megalocarpus,Dune Thiste,1,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.1,,,
Agrostis venusta,Misty Bent,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,1.0,,,
Ajuga australis,Austral Bugle,,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0,1.0,,,
Allocasuarina littoralis,Black Sheoak,,0.0,0.0,0.0,0.0,2.1,2.1,0.0,0.0,0.0,0.0,0.0,0,2.1,,,
Amperea xiphoclada var. xiphoclada,Broom Spurge,,0.0,0.0,0.0,0.0,3.1,0.0,0.0,0.0,0.0,1.0,0.0,0,3.1,,,
Amphibromus neesii,Southern Swamp Wallaby-grass,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0,2.1,,,
Amphibromus nervosus,"Common Swamp Wallaby-grass, Veined Swamp Wallaby-grass",,0.0,0.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,0,3.1,,,
Amphibromus pithogastrus,"Swollen Swamp Wallaby-grass, Plump Swamp Wallaby-grass",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1.0,,Victoria,Critically Endangered
Amphibromus recurvatus,Dark Swamp Wallaby-grass,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1.0,,,
Amyema miquelii,Box Mistletoe,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1.0,,,
Amyema pendula subsp. pendula,Drooping Mistletoe,,0.0,0.0,0.0,0.0,3.1,3.1,3.1,3.1,3.1,0.0,0.0,0,3.1,,,
Anthosacne scabra,Common Wheat-grass,,0.0,0.0,0.0,0.0,1.0,3.1,3.1,2.1,1.0,0.0,0.0,0,3.1,,,
Aphanes australiana,Australian Piert,,0.0,0.0,0.0,0.0,1.0,1.0,2.1,2.1,1.0,0.0,0.0,0,2.1,,,
Aristida ramosa,"Purple Wire-grass, Cane Wire-grass",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,1.0,,,
Arthropodium fimbriatum,Nodding Chocolate-lily,,0.0,0.0,0.0,0.0,0.0,2.1,1.0,2.1,0.0,0.0,0.0,0,2.1,,,
Arthropodium minus,Small Vanilla-lily,,0.0,0.0,0.0,0.0,0.0,2.1,3.1,3.1,1.0,0.0,0.0,0,3.1,,,
Arthropodium sp. 3,Small Chocolate-lily,,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0.0,1.0,0.0,0.0,0,2.1,,,
Asperula scoparia subsp. scoparia,Prickly Woodruff,,0.0,0.0,0.0,0.0,0.0,0.0,3.1,0.0,0.0,0.0,0.0,0,3.1,,,
Asplenium flabellifolium subsp. gracillimum,Necklace fern,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.1,3.1,0.0,0.0,0,3.1,,,
Astroloma humifusum,Cranberry Heath,,0.0,0.0,0.0,0.0,3.1,3.1,0.0,1.0,1.0,0.0,0.0,0,3.1,,,
Atriplex australasica,Native Orache,,1.0,3.1,3.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.1,,,
Atriplex leptocarpa,Slender-fruit Saltbush,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,,,
Atriplex paludosa subsp. paludosa,Marsh Saltbush,,0.0,3.2,3.1,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3.2,,Victoria,Endangered
Atriplex semibaccata,"Berry Saltbush, Creeping Saltbush",1,0.0,0.0,3.1,1.0,2.1,2.1,3.1,3.1,1.0,0.0,0.0,0,3.1,,,
Austrostipa bigeniculata,"Kneed Spear-grass, Tall Spear-grass, Plains Grass",1,0.0,0.0,0.0,0.0,0.0,2.1,3.2,3.1,2.1,0.0,0.0,0,3.2,,,
Austrostipa flavescens,Coast Spear-grass,,3.1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.1,,,
Austrostipa mollis,"Soft Spear-grass, Supple Spear-grass",,1.0,0.0,0.0,0.0,3.1,3.1,2.1,3.1,1.0,0.0,0.0,0,3.1,,,
Austrostipa rudis subsp. nervosa,Veined Spear-grass,,0.0,0.0,0.0,0.0,1.0,2.1,1.0,0.0,0.0,0.0,0.0,0,2.1,,,
Austrostipa scabra subsp. scabra,Rough Spear-grass,,0.0,0.0,0.0,0.0,0.0,2.1,1.0,1.0,1.0,0.0,0.0,0,2.1,,,
Austrostipa setacea,Corkscrew Grass,,0.0,0.0,0.0,0.0,0.0,0.0,3.1,0.0,0.0,0.0,0.0,0,3.1,,,
Azolla filiculoides,"Red Azolla, Pacific Azolla",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,0,3.1,,,
Banksia integrifolia subsp. integrifolia,Coast Banksia,,3.1,0.0,3.1,3.1,3.1,0.0,0.0,2.1,2.1,0.0,0.0,0,3.1,,,
Banksia marginata,"Silver Banksia, Warrock",,0.0,0.0,0.0,0.0,3.1,2.1,1.0,1.0,1.0,1.0,0.0,0,3.1,,,
Banksia marginata (tree),"Silver Banksia, Warrock",,0.0,0.0,0.0,0.0,2.1,3.1,3.1,3.1,2.1,0.0,0.0,0,3.1,,,
Boerhavia dominii,"Tah Vine, Murra",,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,1.0,,,
Bolboschoenus fluviatilis,Tall Club-sedge,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.1,0.0,2.1,0,2.1,,,
Bossiaea prostrata,Creeping Bossiaea,1,0.0,0.0,0.0,0.0,3.1,3.1,2.1,2.1,2.1,1.0,0.0,0,3.1,,,
Botrychium australe,Austral Moonwort,,0.0,0.0,0.0,1.0,1.0,1.0,2.1,0.0,1.0,0.0,0.0,0,2.1,,Victoria,Critically Endangered
Brachyscome debilis,"Downy Daisy, Weak Daisy, Small Hairy Daisy",,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,1.0,,,
Brachyscome dentata,Lobe-seed Daisy,,0.0,0.0,0.0,0.0,0.0,0.0,2.2,0.0,0.0,0.0,0.0,0,2.2,,,
Brachyscome diversifolia,"Tall Daisy, Large-headed Daisy",,0.0,0.0,0.0,0.0,1.0,2.1,0.0,1.0,1.0,0.0,0.0,0,2.1,,,
Brachyscome perpusilla,Rayless Daisy,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,1.0,,,
Bulbine bulbosa,"Bulbine Lily, Wild Onion, Pike",,0.0,0.0,0.0,0.0,2.1,3.2,3.1,3.1,2.1,0.0,0.0,0,3.2,,,
Bulbine semibarbata,Leek Lily,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,,,
Bursaria spinosa subsp. spinosa,"Sweet Bursaria, Blackthorn",1,2.1,0.0,0.0,2.1,3.1,3.2,3.1,3.2,3.1,0.0,0.0,0,3.2,,,
Caladenia australis,Southern Spider-orchid,,0.0,0.0,0.0,1.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0,2.1,,,
Caladenia cardiochila,Heart-lip or Thick-lip Caladenia,,1.0,0.0,0.0,0.0,2.1,1.0,0.0,0.0,0.0,0.0,0.0,0,2.1,,,
Caladenia carnea,Pink Fingers,,0.0,0.0,0.0,0.0,3.1,3.1,1.0,1.0,1.0,0.0,0.0,0,3.1,,,
Caladenia congesta,Black-tongue Caladenia,,0.0,0.0,0.0,0.0,3.1,2.1,0.0,0.0,0.0,0.0,0.0,0,3.1,,,
Caladenia fuscata,"Dusky Caladenia, Dusky Fingers",,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1.0,,,
Caladenia moschata,Musky Caladenia,,0.0,0.0,0.0,0.0,1.0,2.1,0.0,0.0,1.0,0.0,0.0,0,2.1,,,
Caladenia parva,Small Spider-orchid,,0.0,0.0,0.0,0.0,1.0,3.1,0.0,1.0,1.0,0.0,0.0,0,3.1,,,
Caladenia phaeoclavia,Brown-clubbed Spider-orchid,,0.0,0.0,0.0,0.0,1.0,3.1,0.0,1.0,1.0,0.0,0.0,0,3.1,,,
Caladenia praecox,Early Caladenia,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1.0,,,
Caladenia pusilla,"Tiny Caladenia, Tiny Fingers",,0.0,0.0,0.0,0.0,2.1,2.1,0.0,1.0,1.0,1.0,0.0,0,2.1,,,
Caladenia tentaculata,"Mantis Orchid, Large Green-comb",,0.0,0.0,0.0,1.0,2.1,3.1,2.1,2.1,1.0,1.0,0.0,0,3.1,,,
Caladenia thysanochila,Fringed Spider-orchid,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,Endangered,Victoria,Extinct
Caladenia transitoria,Eastern Bronze Caladenia,,0.0,0.0,0.0,0.0,2.1,2.1,0.0,0.0,1.0,0.0,0.0,0,2.1,,,
Caladenia vulgaris,Slender Fingers,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,,Victoria,Vulnerable
Calandrinia eremaea,Small Purslane,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,1.0,,,
Calandrinia granulifera,Pigmy Purslane,,3.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,3.1,,,
Calocephalus lacteus,Milky Beauty-heads,1,0.0,0.0,3.1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1,3.1,,,
Calochilus paludosus,Red Beard-orchid,,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0,1.0,,,
Calochlaena dubia,"False Bracken, Rainbow Fern",,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,1.0,,,
Calotis scabiosifolia var. scabiosifolia,Rough Burr-daisy,,0.0,0.0,0.0,0.0,0.0,1.0,3.1,0.0,0.0,0.0,1.0,0,3.1,,,
Cardamine papillata,Forest Bitter-cress,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,1.0,,Victoria,Endangered
Carex appressa,Tall Sedge,,0.0,0.0,0.0,3.1,0.0,0.0,0.0,0.0,3.2,2.1,3.1,0,3.2,,,
Carex bichenoviana,Plains Sedge,,0.0,0.0,0.0,0.0,0.0,0.0,2.1,1.0,0.0,0.0,2.1,0,2.1,,,
Carex inversa,Knob Sedge,,0.0,0.0,1.0,2.1,3.1,3.1,3.1,1.0,2.1,1.0,0.0,0,3.1,,,
Carex polyantha,River Sedge,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,1.0,,,
Carex pumila,Stand Sedge,1,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.1,,,
Cassinia aculeata,"Common Cassinia, Dogwood",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,1.0,,,
Cassytha glabella forma glabella,Slender Dodder-laurel,,0.0,0.0,0.0,2.1,2.1,2.1,0.0,0.0,2.1,1.0,0.0,0,2.1,,,
Centella cordifolia,"Swamp Pennywort, Centella",,0.0,0.0,1.0,3.1,2.1,1.0,1.0,0.0,2.1,2.1,3.1,0,3.1,,,
Centrolepis strigosa subsp. strigosa,Hairy Centrolepis,1,1.0,0.0,0.0,1.0,3.1,2.1,1.0,0.0,0.0,3.1,2.1,0,3.1,,,
Cheilanthes distans,Bristly Cloak-fern,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.1,1.0,0.0,0.0,0,2.1,,,
Chiloglottis curvicavia (C. trilabra),Tall Wasp-orchid,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,,,
Chiloglottis sp. aff. valida,No Common Name,,0.0,0.0,0.0,1.0,2.1,1.0,0.0,1.0,1.0,0.0,0.0,0,2.1,,,
Chrysocephalum apiculatum subsp. apiculatum,"Common Everlasting, Yellow Buttons",,0.0,0.0,0.0,0.0,1.0,3.1,3.1,1.0,1.0,0.0,0.0,0,3.1,,,
Chrysocephalum semipapposum,Clustered Everlasting,,0.0,0.0,0.0,0.0,1.0,3.1,2.1,1.0,1.0,0.0,0.0,0,3.1,,,
Cladium procerum,"Leafy Twig-sedge, Tall Twig-sedge",,0.0,0.0,1.0,3.1,0.0,0.0,0.0,0.0,0.0,0.0,2.1,3,3.1,,Victoria,Endangered
Clematis decipiens,Slender Clematis,,2.1,0.0,2.1,2.1,2.1,2.1,2.1,2.1,2.1,0.0,0.0,0,2.1,,,
Comesperma calymega,Blue-spike Milkwort,,0.0,0.0,0.0,0.0,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0,3.1,,,
Comesperma ericinum,Heath Milkwort,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,,,
Comesperma volubile,Love Creeper,,0.0,0.0,0.0,1.0,3.1,3.1,0.0,1.0,2.1,1.0,0.0,0,3.1,,,
Correa glabra,"Rock Correa, Smooth Correa",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0.0,0.0,0.0,0,2.1,,,
Correa reflexa var. reflexa,"Native Fuchsia, Common Correa",,0.0,0.0,0.0,0.0,3.1,1.0,0.0,1.0,1.0,1.0,0.0,0,3.1,,,
Corunastylis ciliata,Fringed Midge-orchid,,0.0,0.0,0.0,0.0,2.1,1.0,0.0,0.0,0.0,0.0,0.0,0,2.1,,,
Corunastylis pumila,Green Midge-orchid,,1.0,0.0,0.0,0.0,2.1,1.0,0.0,0.0,0.0,0.0,0.0,0,2.1,,Victoria,Endangered
Corybas fimbriatus,Fringed Helmet-orchid,,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0,1.0,,Victoria,Endangered
Cotula australis,Common Cotula,,1.0,0.0,2.1,2.1,3.1,3.1,3.1,2.1,2.1,1.0,0.0,0,3.1,,,
Craspedia paludicola,Swamp Billy-buttons,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1.0,,,
Craspedia sp. 2,Derrinallum Billy-buttons,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,1.0,,Victoria,Endangered
Craspedia variabilis (Plains form),"Common Billy-buttons, Variable Billy-buttons",,0.0,0.0,0.0,0.0,1.0,1.0,2.1,0.0,0.0,0.0,0.0,0,2.1,,,
Dichelachne sieberiana,Rough Plume-grass,,0.0,0.0,0.0,0.0,1.0,3.1,0.0,1.0,1.0,0.0,0.0,0,3.1,,,
Crassula colorata var. acuminata,Dense Crassula,,0.0,0.0,0.0,0.0,1.0,2.1,2.1,1.0,1.0,0.0,0.0,0,2.1,,,
Crassula decumbens var. decumbens,"Rufous Crassula, Spreading Crassula, Spreading Stonecrop",,1.0,0.0,3.1,3.1,3.1,3.1,3.1,3.1,3.1,0.0,0.0,0,3.1,,,
Cryptostylis leptochila,Small Tongue-orchid,,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0,1.0,,,
Cryptostylis subulata,Large Tongue-orchid,,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0,1.0,,,
Cyathea australis,"Rough Tree-fern, Pooeet",,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0,1.0,,,
Cycnogeton procerum,Water Ribbons,,0.0,0.0,0.0,2.1,0.0,0.0,0.0,0.0,1.0,0.0,3.1,0,3.1,,,
Cynoglossum australe,Australian Hound's-tongue,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,,,
Desmodium varians,Slender Tick-trefoil,,0.0,0.0,0.0,0.0,0.0,2.1,1.0,1.0,0.0,0.0,0.0,0,2.1,,,
Deyeuxia minor,Small Bent-grass,,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1.0,,,
Dianella laevis var. laevis,"Pale Flax-lily, Smooth Flax-lily",,0.0,0.0,0.0,0.0,2.1,1.0,0.0,0.0,1.0,0.0,0.0,0,2.1,,,
Dianella tasmanica,Tasman Flax-Lily,1,0.0,0.0,0.0,1.0,3.1,0.0,0.0,1.0,1.0,0.0,0.0,0,3.1,,,
Dichelachne crinita,Long-hair Plume-grass,1,1.0,0.0,0.0,0.0,2.1,3.1,3.1,3.1,3.1,0.0,0.0,0,3.1,,,
Dicksonia antarctica,Dicksonia antarctica,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1.0,,,
Dillwynia cinerascens,Grey Parrot-pea,,0.0,0.0,0.0,0.0,1.0,3.1,1.0,1.0,1.0,0.0,0.0,0,3.1,,,
Dillwynia sericea,Showy Parrot-pea,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1.0,,,
Dipodium punctatum,Purple Hyacinth-orchid,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1.0,,,
Distichlis distichophylla,"Australian Salt-grass, Gullibarkityallan",1,3.1,3.2,3.2,3.1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,3.2,,,
Diuris basaltica,"Basalt Golden Moths, Small Golden Moths",,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,1.0,Endangered,Australia,Critically Endangered
Diuris behrii,Golden Cowslips,,0.0,0.0,0.0,0.0,0.0,2.1,3.1,1.0,0.0,0.0,0.0,0,3.1,,Victoria,Endangered
Diuris chryseopsis,"Golden Moths, Snake-orchid",1,0.0,0.0,0.0,0.0,1.0,3.1,3.1,1.0,0.0,0.0,0.0,0,3.1,,,
Diuris palustris,"Swamp Diuris, Swamp Doubletail",,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0,1.0,,Victoria,Endangered
Diuris x fastidiosa,Proud Doubletail,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,1.0,,Australia,Endangered
Dodonaea viscosa subsp. cuneata,Wedge-leaf Hop-bush,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,1.0,,,
Drosera binata,Forked Sundew,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1.0,,,
Drosera macrantha subsp. macrantha,"Bridal Rainbow, Climbing Sundew",,0.0,0.0,0.0,0.0,2.1,1.0,0.0,1.0,1.0,1.0,0.0,0,2.1,,,
Duma florulenta,Tangled Lignum,,0.0,1.0,2.1,0.0,0.0,0.0,0.0,0.0,2.2,0.0,2.2,2,2.2,,,
Eleocharis acuta,Common Spike-sedge,,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.1,1.0,3.2,0,3.2,,,
Eleocharis pusilla,Small Spike-sedge,,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0.0,0.0,0.0,2.1,0,2.1,,,
Epilobium billardierianum subsp. intermedium,Robust Willow-herb,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,1.0,,,
Epilobium hirtigerum,"Hairy Willow-herb, Narrow-leaf Willow-herb, Hoary Willow-herb",1,1.0,0.0,3.1,1.0,1.0,1.0,3.1,1.0,3.1,1.0,2.1,0,3.1,,,
Epilobium pallidiflorum,Showy Willow-herb,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1.0,,,
Eragrostis infecunda,Southern Cane-grass,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1.0,,,
Eryngium ovinum,"Blue Devil, Eryngo",,0.0,0.0,1.0,0.0,0.0,1.0,3.1,1.0,1.0,0.0,0.0,0,3.1,,,
Eucalyptus camaldulensis var. camaldulensis,River Red Gum,1,0.0,0.0,0.0,0.0,1.0,3.2,3.2,3.2,3.2,0.0,0.0,0,3.2,,,
Eucalyptus macrorhyncha,Red Stringybark,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,1.0,,,
Eucalyptus viminalis subsp. pryoriana,"Coast Manna-gum, Rough-barked Manna-gum, Gippsland Manna-gum",,0.0,0.0,0.0,1.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0,2.2,,,
Eucalyptus viminalis subsp. viminalis,"Manna Gum, Ribbon Gum",,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.1,0.0,0.0,0,2.1,,,
Euchiton japonicus,Creeping Cudweed,,1.0,0.0,1.0,1.0,3.1,3.1,3.1,2.1,3.1,0.0,0.0,0,3.1,,,
Euphrasia collina subsp. collina,Purple Eyebright,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1.0,,,
Euphrasia collina subsp.paludosa,Purple Eyebright,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1.0,,,
Exocarpos cupressiformis,"Wild Cherry, Cherry Ballart",,1.0,0.0,1.0,3.1,3.2,3.2,3.2,3.2,3.2,1.0,0.0,0,3.2,,,
Ficinia nodosa,Knobby Club-sedge,1,2.2,1.0,3.2,3.1,2.1,0.0,0.0,0.0,1.0,0.0,1.0,1,3.2,,,
Gahnia trifida,"Coast Saw-sedge, Cutting Saw-sedge",,1.0,1.0,2.2,2.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.2,,,
Galium binifolium subsp. conforme,Reflexed Bedstraw,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,,,
Galium gaudichaudii subsp. gaudichaudii,Rough Bedstraw,,0.0,0.0,0.0,0.0,0.0,2.1,1.0,1.0,1.0,0.0,0.0,0,2.1,,,
Galium leiocarpum,Maori Bedstraw,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,1.0,,,
Gastrodia sesamoides,Cinnamon Bells,,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1.0,,,
Geranium beardsellii,Valley Crane’s-bill,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0,1.0,,,
Geranium carolinii,Large-flower Crane’s-bill,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0,1.0,,,
Geranium ciliocarpum,Variable Crane’s-bill,,0.0,0.0,0.0,0.0,2.1,2.1,1.0,0.0,0.0,0.0,0.0,0,2.1,,,
Geranium potentilloides var. potentilloides,"Soft Crane's-bill, Cinque-foil Crane’s-bill",,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,1.0,,,
Gleichenia dicarpa,"Pouched Coral-fern, Tangle Fern",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1.0,,,
