KEYAccidentNumber,DATAccidentDate_accident,TIMAccidentTime_accident,CATAccidentTypeDesc_accident,CATDayOfWeek_accident,CATDCADesc_accident,CATMelwaysPage_accident,CATMelwaysGridRef_X_accident,CATMelwaysGridRef_Y_accident,CATLightConditionDesc_accident,NUMVehiclesInvolved_accident,NUMPersonsInvolved_accident,NUMPersonsInjured_accident,KEYPersonID_person,CATRoadUserTypeDesc_person,CATTakenHospital_person,CATInjuryLevelDesc_person,CATAgeGroup_person,CATPostcode_person,CATGender_person,CATLGAName_node,CATDEGUrbanName_node,NUMLatitude_node,NUMLongitude_node,CATPostcode_node,CATSurfaceConditionDesc_surface,CATSubDCACodeDesc_subdca,CATAtmosphericConditionDesc_atmosphere,CATRoadName_acclocation,CATRoadNameInt_acclocation,CATRoadType_acclocation,CATRoadTypeInt_acclocation,CATEventTypeDesc_accevent,CATObjectTypeDesc_accevent
T20130006400,2013-03-26,14:50:00                      ,Struck Pedestrian,Tuesday,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.      ,2B,K,5,Day,1,2,1,01,Pedestrians,Y,Serious injury,64-69,3764.0,F,MELBOURNE,MELB_URBAN,-37.79521975,144.9753477,3053,Dry,Not Required,Clear,NICHOLSON,KAY,STREET,STREET,Collision,Not Applicable
T20130006440,2013-03-27,10:50:00                      ,Struck Pedestrian,Wednesday,PED PLAYING/LYING/WORKING/STANDING ON CARRIAGEWAY.,2K,J,2,Day,1,2,1,01,Pedestrians,Y,Serious injury,40-49,3040.0,M,MELBOURNE,MELB_URBAN,-37.83375826,144.9734719,3004,Dry,Pedestrian working/pushing or working on vehicle,Clear,ST KILDA,BOWEN,ROAD,LANE,Collision,Not Applicable
T20130006525,2013-03-28,13:15:00                      ,Struck Pedestrian,Thursday,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.      ,1A,H,5,Day,1,2,0,01,Pedestrians, ,Other injury,40-49,3146.0,F,MELBOURNE,MELBOURNE_CBD,-37.81496495,144.9606837,3000,Dry,Vehicle leaving intersection,Clear,BOURKE,QUEEN,STREET,STREET,Collision,Not Applicable
T20130006597,2013-03-13,08:30:00                      ,Struck Pedestrian,Wednesday,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.      ,1B,Q,9,Day,1,2,1,01,Pedestrians,Y,Other injury,30-39,3158.0,M,MELBOURNE,MELBOURNE_CBD,-37.81592602,144.9688758,3000,Dry,Vehicle entering intersection,Clear,FLINDERS,HOSIER,LANE,LANE,Collision,Not Applicable
T20130006866,2013-04-02,12:30:00                      ,Struck Pedestrian,Tuesday,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.      ,1B,T,6,Day,1,3,1,01,Pedestrians, ,Other injury,70+,,F,MELBOURNE,MELBOURNE_CBD,-37.81251883,144.970764,3000,Dry,Vehicle reversing,Clear,EXHIBITION,BOURKE,STREET,STREET,Collision,Not Applicable
T20130006866,2013-04-02,12:30:00                      ,Struck Pedestrian,Tuesday,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.      ,1B,T,6,Day,1,3,1,02,Pedestrians,Y,Serious injury,70+,,M,MELBOURNE,MELBOURNE_CBD,-37.81251883,144.970764,3000,Dry,Vehicle reversing,Clear,EXHIBITION,BOURKE,STREET,STREET,Collision,Not Applicable
T20130007695,2013-04-14,16:30:00                      ,Struck Pedestrian,Sunday,FAR SIDE. PED HIT BY VEHICLE FROM THE LEFT         ,2B,H,8,Day,1,4,1,03,Pedestrians,Y,Serious injury,26-29,,M,MELBOURNE,MELB_URBAN,-37.80106096,144.9698924,3053,Wet,Vehicle entering intersection,Raining,GRATTAN,RATHDOWNE,STREET,STREET,Collision,Not Applicable
T20130007755,2013-04-15,09:24:00                      ,Struck Pedestrian,Monday,ANY MANOEUVRE INVOLVING PED NOT INCLUDED IN DCAs 100-108.  ,1A,F,2,Day,1,1,0,01,Pedestrians,N,Other injury,40-49,3337.0,M,MELBOURNE,MELBOURNE_CBD,-37.81265707,144.9571587,3000,Dry,Not Required,Clear,LITTLE LONSDALE,WILLIAM,STREET,STREET,Collision,Not Applicable
T20130007831,2013-04-16,08:15:00                      ,Struck Pedestrian,Tuesday,PED EMERGES FROM IN FRONT OF PARKED OR STATIONARY VEHICLE  ,2L,B,10,Day,1,2,1,01,Pedestrians,Y,Serious injury,22-25,3182.0,M,MELBOURNE,MELB_URBAN,-37.84724079,144.9795566,3004,Dry,Pedestrian emerged from behind car etc,Clear,ST KILDA,MOUBRAY,ROAD,STREET,Collision,Not Applicable
T20130008024,2012-09-29,13:30:00                      ,Struck Pedestrian,Saturday,ANY MANOEUVRE INVOLVING PED NOT INCLUDED IN DCAs 100-108.  ,2B,B,7,Day,1,2,1,01,Pedestrians,Y,Serious injury,17-21,3155.0,M,MELBOURNE,MELB_URBAN,-37.79795304,144.9579524,3052,Unknown,Not Required,Not known,GENETICS,ROYAL REV,LANE,PARADE SERVICE ROAD,Collision,Not Applicable
T20130008300,2012-12-14,09:35:00                      ,Fall from or in moving vehicle,Friday,FELL IN/FROM VEHICLE                    ,1B,N,4,Day,1,2,0,01,Pedestrians, ,Other injury,64-69,,F,MELBOURNE,MELBOURNE_CBD,-37.81254531,144.9651824,3000,Unknown,Fell from vehicle,Not known,LITTLE BOURKE,SWANSTON,STREET,STREET,Fell from vehicle,Not Applicable
T20130008543,2013-04-25,09:27:00                      ,Struck Pedestrian,Thursday,FAR SIDE. PED HIT BY VEHICLE FROM THE LEFT         ,29,G,10,Day,1,2,0,01,Pedestrians,N,Serious injury,60-64,3055.0,F,MELBOURNE,MELB_URBAN,-37.77804419,144.9602339,3056,Dry,Vehicle leaving intersection,Clear,ROYAL PARADE -SYDNEY,THE AVENUE,ROAD,,Collision,Not Applicable
T20130008612,2013-02-23,15:30:00                      ,Fall from or in moving vehicle,Saturday,FELL IN/FROM VEHICLE                    ,2B,G,6,Day,1,2,1,01,Pedestrians,Y,Serious injury,70+,3150.0,F,MELBOURNE,MELB_URBAN,-37.79715948,144.9675577,3053,Dry,Fell in vehicle,Clear,ELGIN,LYGON,STREET,STREET,Fell in vehicle,Not Applicable
T20130008883,2013-04-28,10:15:00                      ,Struck Pedestrian,Sunday,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.      ,2L,A,4,Day,1,2,0,01,Pedestrians, ,Other injury,30-39,,M,MELBOURNE,MELB_URBAN,-37.83698681,144.9760654,3004,Dry,Vehicle leaving intersection,Clear,TOORAK,ST KILDA FWD,ROAD,ROAD SERVICE ROAD,Collision,Not Applicable
T20130009042,2013-05-02,07:25:00                      ,Struck Pedestrian,Thursday,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.      ,2A,F,10,Day,1,2,1,01,Pedestrians,Y,Serious injury,40-49,3051.0,M,MELBOURNE,MELB_URBAN,-37.8044877,144.943224,3003,Dry,Vehicle leaving intersection,Clear,DRYBURGH,VICTORIA,STREET,STREET,Collision,Not Applicable
T20130009128,2013-05-03,02:27:00                      ,Struck Pedestrian,Friday,ANY MANOEUVRE INVOLVING PED NOT INCLUDED IN DCAs 100-108.  ,1B,Q,10,Dark Street lights on,1,3,1,01,Pedestrians,Y,Serious injury,40-49,,M,MELBOURNE,MELB_URBAN,-37.81673563,144.9699027,3000,Dry,Not Required,Clear,FLINDERS,RUSSELL EXT,STREET,STREET,Collision,Not Applicable
T20130009128,2013-05-03,02:27:00                      ,Struck Pedestrian,Friday,ANY MANOEUVRE INVOLVING PED NOT INCLUDED IN DCAs 100-108.  ,1B,Q,10,Dark Street lights on,1,3,1,02,Pedestrians, ,Other injury,50-59,,M,MELBOURNE,MELB_URBAN,-37.81673563,144.9699027,3000,Dry,Not Required,Clear,FLINDERS,RUSSELL EXT,STREET,STREET,Collision,Not Applicable
T20130009658,2013-05-10,02:30:00                      ,Struck Pedestrian,Friday,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.      ,1B,Q,4,Dark Street lights on,1,2,0,01,Pedestrians, ,Other injury,22-25,3000.0,F,MELBOURNE,MELBOURNE_CBD,-37.81182344,144.9676518,3000,Dry,Vehicle leaving intersection,Clear,LITTLE BOURKE,RUSSELL,STREET,STREET,Collision,Not Applicable
T20130009774,2013-05-10,14:46:00                      ,Struck Pedestrian,Friday,FAR SIDE. PED HIT BY VEHICLE FROM THE LEFT         ,2B,D,10,Day,1,2,0,01,Pedestrians, ,Other injury,60-64,3060.0,F,MELBOURNE,MELB_URBAN,-37.80321052,144.9604749,3053,Dry,Pedestrian emerged from behind car etc,Clear,LEICESTER,LEICESTER,STREET,PLACE,Collision,Not Applicable
T20130009941,2013-05-13,12:10:00                      ,Struck Pedestrian,Monday,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.      ,2F,C,1,Day,1,2,1,01,Pedestrians,Y,Serious injury,70+,3054.0,F,MELBOURNE,MELB_URBAN,-37.80863342,144.958815,3000,Dry,Vehicle entering intersection,Clear,ANTHONY,FRANKLIN,STREET,STREET,Collision,Not Applicable
T20130009972,2013-05-11,20:05:00                      ,Struck Pedestrian,Saturday,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.      ,1A,A,1,Dark Street lights on,1,2,1,01,Pedestrians,Y,Serious injury,26-29,3000.0,F,MELBOURNE,MELB_URBAN,-37.81316686,144.9514354,3000,Unknown,Vehicle within intersection,Not known,SPENCER,LA TROBE,STREET,STREET,Collision,Not Applicable
T20130010333,2013-05-18,02:22:00                      ,Struck Pedestrian,Saturday,FAR SIDE. PED HIT BY VEHICLE FROM THE LEFT         ,2B,D,11,Dark Street lights on,2,3,1,01,Pedestrians,Y,Other injury,17-21,3000.0,M,MELBOURNE,MELB_URBAN,-37.80671968,144.9612399,3000,Dry,Not Required,Clear,THERRY,THERRY ALT,STREET,STREET,Collision,Not Applicable
T20130010773,2013-05-24,01:30:00                      ,Struck Pedestrian,Friday,ANY MANOEUVRE INVOLVING PED NOT INCLUDED IN DCAs 100-108.  ,1A,C,4,Dark Street lights unknown,1,2,0,01,Pedestrians,N,Other injury,22-25,,M,MELBOURNE,MELBOURNE_CBD,-37.8154039,144.955278,3000,Dry,Not Required,Clear,KING,LITTLE BOURKE,STREET,STREET,Collision,Not Applicable
T20130010794,2013-05-24,14:15:00                      ,Struck Pedestrian,Friday,ANY MANOEUVRE INVOLVING PED NOT INCLUDED IN DCAs 100-108.  ,1B,T,7,Day,1,2,1,01,Pedestrians,Y,Serious injury,70+,,M,MELBOURNE,MELBOURNE_CBD,-37.81408864,144.9713294,3000,Dry,Not Required,Clear,COLLINS,EXHIBITION,STREET,STREET,Collision,Not Applicable
T20130011652,2013-06-05,12:58:00                      ,Struck Pedestrian,Wednesday,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.      ,1B,Q,3,Day,1,2,0,01,Pedestrians,N,Other injury,40-49,3182.0,F,MELBOURNE,MELBOURNE_CBD,-37.81084195,144.967202,3000,Dry,Vehicle leaving intersection,Clear,LONSDALE,RUSSELL,STREET,STREET,Collision,Not Applicable
T20130011908,2013-06-07,13:36:00                      ,Struck Pedestrian,Friday,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.      ,1B,N,1,Day,1,2,0,01,Pedestrians, ,Other injury,70+,3079.0,M,MELBOURNE,MELBOURNE_CBD,-37.80959426,144.9638262,3000,Dry,Vehicle entering intersection,Clear,LA TROBE,SWANSTON,STREET,STREET,Collision,Not Applicable
T20130012065,2013-05-31,10:30:00                      ,Struck Pedestrian,Friday,PED WALKING WITH TRAFFIC                  ,1B,T,4,Day,1,2,1,01,Pedestrians,Y,Serious injury,64-69,3065.0,M,MELBOURNE,MELBOURNE_CBD,-37.81110428,144.9701085,3000,Dry,Paved footpath,Clear,EXHIBITION,LITTLE BOURKE,STREET,STREET,Collision,Not Applicable
T20130012317,2013-06-13,18:35:00                      ,Struck Pedestrian,Thursday,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.      ,2E,G,6,Dark Street lights on,1,2,1,01,Pedestrians,Y,Other injury,50-59,2602.0,F,MELBOURNE,MELB_URBAN,-37.81900874,144.946682,3008,Wet,Vehicle in left turn slip lane,Raining,BOURKE,HARBOUR,STREET,ESPLANADE,Collision,Not Applicable
T20130012635,2013-06-18,13:40:00                      ,Struck Pedestrian,Tuesday,FAR SIDE. PED HIT BY VEHICLE FROM THE LEFT         ,1B,T,7,Day,1,2,1,01,Pedestrians,Y,Other injury,13-15,,M,MELBOURNE,MELBOURNE_CBD,-37.81404704,144.9714728,3000,Dry,Vehicle leaving intersection,Clear,COLLINS,EXHIBITION,STREET,STREET,Collision,Not Applicable
T20130012645,2013-06-18,15:45:00                      ,Struck Pedestrian,Tuesday,PED STRUCK WALKING TO/FROM OR BOARDING/ALIGHTING VEHICLE.  ,29,G,12,Day,2,3,0,01,Pedestrians,N,Other injury,13-15,3055.0,F,MELBOURNE,MELB_URBAN,-37.78472297,144.9593976,3052,Dry,Alighting,Clear,ROYAL,WALKER,PARADE,STREET,Collision,Not Applicable
T20130012791,2013-06-20,06:00:00                      ,Struck Pedestrian,Thursday,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.      ,1B,Q,3,Dusk/Dawn,1,2,0,01,Pedestrians,N,Other injury,17-21,3127.0,F,MELBOURNE,MELBOURNE_CBD,-37.81084195,144.967202,3000,Dry,Vehicle leaving intersection,Clear,LONSDALE,RUSSELL,STREET,STREET,Collision,Not Applicable
T20130012797,2013-06-20,07:00:00                      ,Struck Pedestrian,Thursday,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.      ,2T,H,1,Day,1,2,0,01,Pedestrians,N,Other injury,26-29,3031.0,F,MELBOURNE,MELB_URBAN,-37.78770243,144.9252455,3031,Dry,Vehicle entering intersection,Clear,RACECOURSE ROAD -SMITHFIELD,RACECOURSE,ROAD,ROAD,Collision,Not Applicable
T20130012840,2013-06-20,17:15:00                      ,Collision with a fixed object,Thursday,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE       ,1B,N,1,Unknown,1,2,0,01,Pedestrians, ,Other injury,26-29,3000.0,F,MELBOURNE,MELB_URBAN,-37.80959426,144.9638262,3000,Unknown,Guard rail,Not known,LA TROBE,SWANSTON,STREET,STREET,Ran off carriageway,Not Applicable
T20130012910,2013-06-21,10:20:00                      ,Struck Pedestrian,Friday,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.      ,2A,G,8,Day,1,2,1,01,Pedestrians,Y,Serious injury,70+,,F,MELBOURNE,MELB_URBAN,-37.80052789,144.9459007,3051,Dry,Vehicle leaving intersection,Clear,ABBOTSFORD,ARDEN,STREET,STREET,Collision,Not Applicable
T20130012913,2013-06-21,11:25:00                      ,Struck Pedestrian,Friday,FAR SIDE. PED HIT BY VEHICLE FROM THE LEFT         ,2G,E,1,Day,1,2,1,01,Pedestrians,Y,Serious injury,17-21,,F,MELBOURNE,MELB_URBAN,-37.80958185,144.9863605,3002,Dry,Vehicle leaving intersection,Clear,VICTORIA,POWLETT,PARADE,STREET,Collision,Not Applicable
T20130013118,2013-06-23,19:35:00                      ,Struck Pedestrian,Sunday,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.      ,1C,K,7,Dark Street lights on,1,2,0,01,Pedestrians,N,Serious injury,30-39,3006.0,M,MELBOURNE,MELB_URBAN,-37.82597584,144.9600697,3006,Dry,Vehicle leaving intersection,Clear,CITY,MORAY,ROAD,STREET,Collision,Not Applicable
T20130013275,2013-06-26,09:22:00                      ,Struck Pedestrian,Wednesday,FAR SIDE. PED HIT BY VEHICLE FROM THE LEFT         ,2B,H,10,Day,1,2,1,01,Pedestrians,Y,Serious injury,22-25,,F,MELBOURNE,MELB_URBAN,-37.80314488,144.9695531,3053,Dry,Vehicle leaving intersection,Clear,PELHAM,RATHDOWNE,STREET,STREET,Collision,Not Applicable
T20130013308,2013-06-26,16:10:00                      ,Struck Pedestrian,Wednesday,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.      ,1C,H,8,Dusk/Dawn,1,2,1,01,Pedestrians,Y,Serious injury,50-59,3205.0,M,MELBOURNE,MELB_URBAN,-37.82764335,144.9580985,3006,Dry,Vehicle leaving intersection,Clear,CLARENDON,CITY,STREET,ROAD,Collision,Not Applicable
T20130013362,2013-06-27,14:25:00                      ,Struck Pedestrian,Thursday,FAR SIDE. PED HIT BY VEHICLE FROM THE LEFT         ,1A,F,7,Day,1,3,1,02,Pedestrians,Y,Serious injury,26-29,3081.0,M,MELBOURNE,MELBOURNE_CBD,-37.81764326,144.9591106,3000,Dry,Vehicle leaving intersection,Clear,COLLINS,WILLIAM,STREET,STREET,Collision,Not Applicable
T20130013366,2013-06-27,15:48:00                      ,Struck Pedestrian,Thursday,PED EMERGES FROM IN FRONT OF PARKED OR STATIONARY VEHICLE  ,2E,A,3,Day,2,3,1,01,Pedestrians,Y,Serious injury,17-21,3058.0,M,MELBOURNE,MELB_URBAN,-37.81246956,144.9316165,3003,Dry,Pedestrian emerged from behind car etc,Clear,ENTERPRIZE,ENTERPRIZE ALT,ROAD,ROAD,Collision,Not Applicable
T20130013495,2013-06-28,07:00:00                      ,Struck Pedestrian,Friday,FAR SIDE. PED HIT BY VEHICLE FROM THE LEFT         ,1B,Q,10,Day,1,2,0,01,Pedestrians, ,Other injury,30-39,3183.0,M,MELBOURNE,MELB_URBAN,-37.81690487,144.9693214,3000,Unknown,Vehicle entering intersection,Not known,FLINDERS,HOSIER,STREET,LANE,Collision,Not Applicable
T20130013544,2013-06-29,23:00:00                      ,Struck Pedestrian,Saturday,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.      ,1C,J,7,Dark Street lights on,1,2,0,01,Pedestrians,N,Other injury,64-69,3111.0,M,MELBOURNE,MELB_URBAN,-37.8267821,144.9591131,3006,Dry,Vehicle leaving intersection,Clear,CITY,CLARKE,ROAD,STREET,Collision,Not Applicable
T20130013554,2013-06-30,06:20:00                      ,Struck Pedestrian,Sunday,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.      ,2G,B,9,Dark Street lights on,3,4,1,01,Pedestrians,Y,Serious injury,30-39,,M,MELBOURNE,MELB_URBAN,-37.82329191,144.9784939,3004,Dry,Vehicle leaving intersection,Clear,BATMAN,OLYMPIC,AVENUE,BOULEVARD,Collision,Not Applicable
T20130013616,2013-06-30,11:45:00                      ,Struck Pedestrian,Sunday,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.      ,2G,G,1,Day,1,3,1,01,Pedestrians,Y,Serious injury,17-21,3065.0,M,MELBOURNE,MELB_URBAN,-37.81007023,144.9912921,3002,Dry,Not Required,Clear,HODDLE,VICTORIA,STREET,PARADE,Collision,Not Applicable
T20130013721,2013-06-18,10:00:00                      ,No collision and no object struck,Tuesday,ANY MANOEUVRE INVOLVING PED NOT INCLUDED IN DCAs 100-108.  ,2A,A,8,Day,1,2,0,01,Pedestrians, ,Other injury,40-49,3033.0,F,MELBOURNE,MELB_URBAN,-37.79984283,144.931765,3031,Dry,Not Required,Not known,BAKEHOUSE,MCCLURE,ROAD,ROAD,Other,Not Applicable
T20130013732,2013-07-01,18:30:00                      ,Struck Pedestrian,Monday,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.      ,1D,V,6,Dark Street lights on,1,3,1,02,Pedestrians,Y,Serious injury,50-59,,M,MELBOURNE,MELB_URBAN,-37.82202005,144.9697998,3004,Wet,Not Required,Raining,ST KILDA,ST KILDA FWD,ROAD,ROAD SERVICE ROAD,Collision,Not Applicable
T20130013902,2013-07-04,10:50:00                      ,Struck Pedestrian,Thursday,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.      ,1B,L,3,Day,1,3,1,01,Pedestrians,Y,Other injury,70+,3102.0,F,MELBOURNE,MELBOURNE_CBD,-37.81228152,144.9622574,3000,Dry,Vehicle entering intersection,Clear,ELIZABETH,LONSDALE,STREET,STREET,Collision,Not Applicable
T20130013946,2013-07-05,09:13:00                      ,Struck Pedestrian,Friday,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.      ,1A,H,5,Day,1,2,1,01,Pedestrians,Y,Serious injury,17-21,3131.0,F,MELBOURNE,MELBOURNE_CBD,-37.81496495,144.9606837,3000,Dry,Vehicle entering intersection,Clear,BOURKE,QUEEN,STREET,STREET,Collision,Not Applicable
T20130014300,2013-06-30,04:00:00                      ,Struck Pedestrian,Sunday,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.      ,1B,N,5,Dark Street lights on,1,2,0,01,Pedestrians, ,Other injury,17-21,3082.0,M,MELBOURNE,MELBOURNE_CBD,-37.81340897,144.9660495,3000,Unknown,Not Required,Not known,BOURKE,SWANSTON,STREET,STREET,Collision,Not Applicable
T20130014416,2013-07-12,11:58:00                      ,Struck Pedestrian,Friday,FAR SIDE. PED HIT BY VEHICLE FROM THE LEFT         ,1B,V,5,Day,1,2,0,01,Pedestrians, ,Not injured,30-39,,M,MELBOURNE,MELBOURNE_CBD,-37.81149035,144.9726002,3000,Dry,Pedestrian stepped off safety zone/tram shelter,Clear,BOURKE,WINDSOR,STREET,PLACE,Collision,Not Applicable
T20130014430,2013-07-11,07:24:00                      ,Struck Pedestrian,Thursday,FAR SIDE. PED HIT BY VEHICLE FROM THE LEFT         ,2F,J,1,Day,1,2,0,01,Pedestrians,N,Other injury,17-21,3806.0,F,MELBOURNE,MELB_URBAN,-37.80924477,144.9729709,3002,Dry,Vehicle leaving intersection,Clear,ALBERT,NICHOLSON,STREET,STREET,Collision,Not Applicable
T20130014546,2013-07-13,21:31:00                      ,Struck Pedestrian,Saturday,FAR SIDE. PED HIT BY VEHICLE FROM THE LEFT         ,2B,G,6,Dark Street lights on,1,3,0,02,Pedestrians,N,Other injury,16-17,3820.0,F,MELBOURNE,MELB_URBAN,-37.79732073,144.9690247,3053,Wet,Vehicle leaving intersection,Raining,DRUMMOND,ELGIN,STREET,STREET,Collision,Not Applicable
T20130014660,2013-07-06,16:00:00                      ,Struck Pedestrian,Saturday,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.      ,2A,E,1,Day,1,2,0,01,Pedestrians, ,Other injury,17-21,,M,MELBOURNE,MELB_URBAN,-37.78782877,144.9405067,3051,Unknown,At exit ramp/local road intersection,Not known,BOUNDARY,FLEMINGTON,ROAD,ROAD,Collision,Not Applicable
T20130015133,2013-07-22,15:30:00                      ,Struck Pedestrian,Monday,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.      ,1A,F,10,Day,1,2,0,01,Pedestrians, ,Other injury,40-49,3006.0,F,MELBOURNE,MELB_URBAN,-37.8196135,144.9600172,3000,Dry,Vehicle leaving intersection,Clear,FLINDERS,WILLIAM,STREET,STREET,Collision,Not Applicable
T20130015297,2013-07-21,16:00:00                      ,Struck Pedestrian,Sunday,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.      ,2G,A,8,Day,1,2,0,01,Pedestrians, ,Other injury,40-49,3032.0,F,MELBOURNE,MELB_URBAN,-37.82308938,144.976147,3004,Dry,Vehicle leaving intersection,Clear,ALEXANDRA AVENUE -OLYMPIC,BOATHOUSE,BOULEVARD,DRIVE,Collision,Not Applicable
T20130015426,2013-06-03,14:10:00                      ,Struck Pedestrian,Monday,PED PLAYING/LYING/WORKING/STANDING ON CARRIAGEWAY.,2B,B,8,Day,1,2,1,01,Pedestrians,Y,Serious injury,50-59,3125.0,M,MELBOURNE,MELB_URBAN,-37.7997167,144.9575562,3000,Dry,Pedestrian standing,Clear,ELIZABETH,ROYAL,STREET,PARADE,Collision,Not Applicable
T20130015684,2013-07-29,12:20:00                      ,Struck Pedestrian,Monday,ANY MANOEUVRE INVOLVING PED NOT INCLUDED IN DCAs 100-108.  ,1A,F,9,Day,1,2,0,01,Pedestrians, ,Other injury,30-39,3156.0,F,MELBOURNE,MELBOURNE_CBD,-37.81862018,144.9595602,3000,Dry,,Clear,FLINDERS,WILLIAM,LANE,STREET,Collision,Not Applicable
T20130015821,2013-07-31,22:30:00                      ,Struck Pedestrian,Wednesday,FAR SIDE. PED HIT BY VEHICLE FROM THE LEFT         ,1D,M,4,Dark Street lights on,1,2,1,01,Pedestrians,Y,Serious injury,64-69,,M,MELBOURNE,MELB_URBAN,-37.82319053,144.96045,3006,Dry,Pedestrian stepped off median strip,Clear,WHITEMAN,POWER,STREET,STREET,Collision,Not Applicable
T20130015895,2013-08-01,18:15:00                      ,Struck Pedestrian,Thursday,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.      ,1A,F,9,Dark Street lights on,1,2,1,01,Pedestrians,Y,Serious injury,40-49,3186.0,F,MELBOURNE,MELBOURNE_CBD,-37.81862018,144.9595602,3000,Dry,Vehicle leaving intersection,Clear,FLINDERS,WILLIAM,LANE,STREET,Collision,Not Applicable
T20130016252,2013-08-06,22:05:00                      ,Struck Pedestrian,Tuesday,FAR SIDE. PED HIT BY VEHICLE FROM THE LEFT         ,2A,J,11,Dark Street lights on,1,3,2,01,Pedestrians,Y,Serious injury,26-29,3058.0,F,MELBOURNE,MELB_URBAN,-37.80529198,144.9507311,3003,Dry,Vehicle entering intersection,Clear,RODEN,VICTORIA,STREET,STREET,Collision,Not Applicable
T20130016252,2013-08-06,22:05:00                      ,Struck Pedestrian,Tuesday,FAR SIDE. PED HIT BY VEHICLE FROM THE LEFT         ,2A,J,11,Dark Street lights on,1,3,2,02,Pedestrians,Y,Serious injury,30-39,3051.0,M,MELBOURNE,MELB_URBAN,-37.80529198,144.9507311,3003,Dry,Vehicle entering intersection,Clear,RODEN,VICTORIA,STREET,STREET,Collision,Not Applicable
T20130016287,2013-08-07,12:25:00                      ,Struck Pedestrian,Wednesday,FAR SIDE. PED HIT BY VEHICLE FROM THE LEFT         ,1A,A,10,Day,1,2,0,01,Pedestrians, ,Other injury,17-21,3754.0,M,MELBOURNE,MELB_URBAN,-37.82109904,144.955075,3008,Dry,Vehicle entering intersection,Clear,SPENCER,FLINDERS,STREET,STREET,Collision,Not Applicable
T20130016298,2013-08-07,16:43:00                      ,Struck Pedestrian,Wednesday,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.      ,1B,L,3,Day,1,2,0,01,Pedestrians, ,Other injury,17-21,3006.0,M,MELBOURNE,MELBOURNE_CBD,-37.81228152,144.9622574,3000,Wet,Vehicle entering intersection,Raining,ELIZABETH,LONSDALE,STREET,STREET,Collision,Not Applicable
T20130016754,2013-08-14,14:05:00                      ,Struck Pedestrian,Wednesday,PED EMERGES FROM IN FRONT OF PARKED OR STATIONARY VEHICLE  ,2B,G,8,Day,1,2,0,01,Pedestrians, ,Other injury,50-59,,F,MELBOURNE,MELB_URBAN,-37.80022029,144.9670126,3053,Wet,Pedestrian emerged from behind car etc,Clear,LYGON,YORK,STREET,PLACE,Collision,Not Applicable
T20130016882,2013-08-16,11:55:00                      ,Struck Pedestrian,Friday,PED STRUCK WALKING TO/FROM OR BOARDING/ALIGHTING VEHICLE.  ,2B,B,7,Day,1,3,1,02,Pedestrians,Y,Serious injury,17-21,3000.0,M,MELBOURNE,MELB_URBAN,-37.7988299,144.9576688,3052,Dry,Alighting,Clear,ROYAL,ELIZABETH,PARADE,STREET,Collision,Not Applicable
